ID,feed_type,feed_shape,feed_particle_size,feed_LHV,C,H,N,S,O,feed_ash,feed_moisture,feed_VM,feed_FC,feed_cellulose,feed_hemicellulose,feed_lignin,temperature,operating_condition,operating_pressure,residence_time,steam_biomass_ratio,ER,gasifying_agent,reactor_type,bed_material,catalyst,scale,N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE,Reference
28,municipal solid waste,pellets,2,27.3,69.61,10.17,0.61,0.74,19.24,16.51,1.9,NaN,NaN,NaN,NaN,NaN,899,continuous,NaN,NaN,NaN,0.34,air,fluidised bed,olivine,1,pilot,64.7,5.9,7.6,13.4,6.6,1.8,5.2,15,2.49,NaN,48,57.36,"Arena, Waste Management 2010, 30, 1212-1219"
29,municipal solid waste,pellets,2,27.3,69.61,10.17,0.61,0.74,19.24,16.51,1.9,NaN,NaN,NaN,NaN,NaN,896,continuous,NaN,NaN,NaN,0.28,air,fluidised bed,olivine,1,pilot,62.3,7.9,8.7,12.3,7,1.8,5.7,43,2.21,NaN,46,51.32,"Arena, Waste Management 2010, 30, 1212-1219"
30,municipal solid waste,pellets,2,27.3,69.61,10.17,0.61,0.74,19.24,16.51,1.9,NaN,NaN,NaN,NaN,NaN,869,continuous,NaN,NaN,NaN,0.23,air,fluidised bed,olivine,1,pilot,57.9,9.2,9.1,12.8,8.3,2.7,6.9,54,1.93,NaN,49,50.41,"Arena, Waste Management 2010, 30, 1212-1219"
31,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,650,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,62,7.25,11.5,17,2.25,NaN,3.27,NaN,1.3,NaN,28,50,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
32,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,750,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,57.4,6.5,13.75,18.75,3.6,NaN,3.45,NaN,1.5,NaN,37,64,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
33,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,850,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,53,7.25,17.25,19,3.5,NaN,4.45,NaN,1.75,NaN,50,75,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
34,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,950,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,51.75,9.5,18.75,17,3,NaN,4.95,NaN,1.9,NaN,63,82,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
35,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,1050,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,50.75,12.25,20,14,3,NaN,5.37,NaN,2,NaN,71,89,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
36,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,770,continuous,atmospheric,NaN,NaN,0.17,air,fluidised bed,silica,0,pilot,55.75,7.5,15.75,18,3,NaN,4.25,NaN,1.2,NaN,29,47,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
37,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,770,continuous,atmospheric,NaN,NaN,0.21,air,fluidised bed,silica,0,pilot,54.28,5.55,16.62,19.24,4.31,NaN,4.53,NaN,1.3,NaN,36,59,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
