ID	feed_type	feed_shape	feed_particle_size	feed_LHV	C	H	N	S	O	feed_ash	feed_moisture	feed_VM	feed_FC	feed_cellulose	feed_hemicellulose	feed_lignin	temperature	operating_condition	operating_pressure	residence_time	steam_biomass_ratio	ER	gasifying_agent	reactor_type	bed_material	catalyst	scale	N2	H2	CO	CO2	CH4	C2Hn	gas_LHV	gas_tar	gas_yield	char_yield	CGE	CCE	Reference
37	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	770.00	continuous	atmospheric	NaN	NaN	0.21	air	fluidised bed	silica	0.00	pilot	54.28	5.55	16.62	19.24	4.31	NaN	4.53	NaN	1.30	NaN	36.00	59.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
38	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	770.00	continuous	atmospheric	NaN	NaN	0.28	air	fluidised bed	silica	0.00	pilot	57.50	5.00	14.75	19.75	3.00	NaN	3.80	NaN	1.65	NaN	38.00	67.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
39	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	770.00	continuous	atmospheric	NaN	NaN	0.32	air	fluidised bed	silica	0.00	pilot	58.50	4.00	13.75	21.00	2.75	NaN	3.35	NaN	1.76	NaN	39.00	71.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
40	woody biomass	fibres	4.00	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	NaN	NaN	NaN	650.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	61.00	6.00	15.00	15.00	3.00	NaN	3.86	NaN	1.20	NaN	30.00	52.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
41	woody biomass	fibres	4.00	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	NaN	NaN	NaN	750.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	59.75	6.00	14.50	17.50	2.25	NaN	3.50	NaN	1.70	NaN	35.00	70.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
42	woody biomass	fibres	4.00	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	NaN	NaN	NaN	850.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	55.25	8.00	15.00	19.00	2.75	NaN	4.00	NaN	1.75	NaN	43.00	79.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
43	woody biomass	fibres	4.00	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	NaN	NaN	NaN	950.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	50.00	14.50	16.00	16.75	2.75	NaN	5.10	NaN	1.80	NaN	58.00	82.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
44	woody biomass	fibres	4.00	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	NaN	NaN	NaN	1050.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	46.70	19.50	17.80	13.25	2.75	NaN	5.87	NaN	2.00	NaN	72.00	84.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
45	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	700.00	continuous	atmospheric	NaN	2.70	0.22	air + steam	fluidised bed	silica	0.00	lab	1.50	22.00	42.50	21.00	8.50	4.50	7.95	NaN	1.43	NaN	59.87	78.17	"Lv, Bioresource Technology 2004, 95, 95-101"
46	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	750.00	continuous	atmospheric	NaN	2.70	0.22	air + steam	fluidised bed	silica	0.00	lab	2.50	28.00	39.00	19.00	8.00	3.50	7.65	NaN	1.51	NaN	60.88	80.66	"Lv, Bioresource Technology 2004, 95, 95-101"
