ID	Inputs																											Outputs												References
	Feedstock information				Ultimate Analysis					Proximate Analysis				Lignocellulosic Composition			Gasifier Conditions and Information											Gas Composition								Yield and Process Efficiency				
	Type	Shape	Particle size [mm]	LHV [MJ/kg wb]	C [%daf]	H [%daf]	N [%daf]	S [%daf]	O [%daf]	Ash [%db]	Moisture [%wb]	Volatile Matter [%db]	Fixed carbon  [%db]	Cellulose [%db]	Hemicellulose [%db]	Lignin [%db]	Temperature [°C]	Operation (Batch/Continuous)	Operating Pressure [kPa]	Residence time [min]	Steam/Biomass [wt/wt]	ER	Gasifying agent	Reactor Type	Bed material	Catalyst	Scale	N2 [vol.% db]	H2 [vol.% db]	CO [vol.% db]	CO2 [vol.% db]	CH4 [vol.% db]	C2Hn [vol.% db]	LHV [MJ/Nm3]	Tar [g/Nm3]	Gas yield [Nm3/kg wb]	Char yield [g/kg wb]	CGE [%] (wb)	CCE [%] (wb)	
27	plastics	pellets	1.5x4	25.40	61.13	8.73	0.57	0.11	29.83	6.23	5.60	-	-	-	-	-	915.00	continuous	-	-	-	0.31	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	60.70	7.90	10.90	14.10	4.90	1.50	5.00	14.00	2.74	-	54.00	75.51	"Arena, Waste Management 2010, 30, 1212-1219"
28	refuse derived fuel	pellets	2x5	27.30	69.61	10.17	0.61	0.74	19.24	16.51	1.90	-	-	-	-	-	899.00	continuous	-	-	-	0.34	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	64.70	5.90	7.60	13.40	6.60	1.80	5.20	15.00	2.49	-	48.00	57.36	"Arena, Waste Management 2010, 30, 1212-1219"
29	refuse derived fuel	pellets	2x5	27.30	69.61	10.17	0.61	0.74	19.24	16.51	1.90	-	-	-	-	-	896.00	continuous	-	-	-	0.28	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	62.30	7.90	8.70	12.30	7.00	1.80	5.70	43.00	2.21	-	46.00	51.32	"Arena, Waste Management 2010, 30, 1212-1219"
30	refuse derived fuel	pellets	2x5	27.30	69.61	10.17	0.61	0.74	19.24	16.51	1.90	-	-	-	-	-	869.00	continuous	-	-	-	0.23	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	57.90	9.20	9.10	12.80	8.30	2.70	6.90	54.00	1.93	-	49.00	50.41	"Arena, Waste Management 2010, 30, 1212-1219"
31	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	650.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	62.00	7.25	11.50	17.00	2.25	-	3.27	-	1.30	-	28.00	50.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
32	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	750.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	57.40	6.50	13.75	18.75	3.60	-	3.45	-	1.50	-	37.00	64.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
33	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	850.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	53.00	7.25	17.25	19.00	3.50	-	4.45	-	1.75	-	50.00	75.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
34	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	950.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	51.75	9.50	18.75	17.00	3.00	-	4.95	-	1.90	-	63.00	82.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
35	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	1050.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	50.75	12.25	20.00	14.00	3.00	-	5.37	-	2.00	-	71.00	89.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
36	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	770.00	continuous	atmospheric	-	-	0.17	air	air-blown fluidised bed	silica sand	-	pilot-scale	55.75	7.50	15.75	18.00	3.00	-	4.25	-	1.20	-	29.00	47.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
37	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	770.00	continuous	atmospheric	-	-	0.21	air	air-blown fluidised bed	silica sand	-	pilot-scale	54.28	5.55	16.62	19.24	4.31	-	4.53	-	1.30	-	36.00	59.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
38	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	770.00	continuous	atmospheric	-	-	0.28	air	air-blown fluidised bed	silica sand	-	pilot-scale	57.50	5.00	14.75	19.75	3.00	-	3.80	-	1.65	-	38.00	67.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
39	palm empty fruit bunch	fibres	4	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	-	-	-	770.00	continuous	atmospheric	-	-	0.32	air	air-blown fluidised bed	silica sand	-	pilot-scale	58.50	4.00	13.75	21.00	2.75	-	3.35	-	1.76	-	39.00	71.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
40	sawdust	fibres	4	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	-	-	-	650.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	61.00	6.00	15.00	15.00	3.00	-	3.86	-	1.20	-	30.00	52.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
41	sawdust	fibres	4	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	-	-	-	750.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	59.75	6.00	14.50	17.50	2.25	-	3.50	-	1.70	-	35.00	70.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
42	sawdust	fibres	4	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	-	-	-	850.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	55.25	8.00	15.00	19.00	2.75	-	4.00	-	1.75	-	43.00	79.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
43	sawdust	fibres	4	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	-	-	-	950.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	50.00	14.50	16.00	16.75	2.75	-	5.10	-	1.80	-	58.00	82.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
44	sawdust	fibres	4	15.73	44.96	5.83	3.10	0.61	45.50	0.47	14.60	89.11	10.42	-	-	-	1050.00	continuous	atmospheric	-	-	0.25	air	air-blown fluidised bed	silica sand	-	pilot-scale	46.70	19.50	17.80	13.25	2.75	-	5.87	-	2.00	-	72.00	84.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
45	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	700.00	continuous	atmospheric	-	2.70	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.50	22.00	42.50	21.00	8.50	4.50	7.95	-	1.43	-	59.87	78.17	"Lv, Bioresource Technology 2004, 95, 95-101"
46	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	750.00	continuous	atmospheric	-	2.70	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	2.50	28.00	39.00	19.00	8.00	3.50	7.65	-	1.51	-	60.88	80.66	"Lv, Bioresource Technology 2004, 95, 95-101"
47	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	2.70	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.50	32.00	37.50	18.00	7.50	3.50	8.56	-	2.23	-	100.58	85.90	"Lv, Bioresource Technology 2004, 95, 95-101"
48	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	850.00	continuous	atmospheric	-	2.70	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.00	36.50	34.00	18.50	7.50	2.50	8.22	-	2.45	-	106.16	92.35	"Lv, Bioresource Technology 2004, 95, 95-101"
49	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	900.00	continuous	atmospheric	-	2.70	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.00	39.00	33.50	19.00	6.50	1.00	7.36	-	2.53	-	98.14	92.59	"Lv, Bioresource Technology 2004, 95, 95-101"
50	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.19	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.50	32.50	37.50	17.75	7.75	3.00	8.82	-	2.13	-	98.96	76.26	"Lv, Bioresource Technology 2004, 95, 95-101"
51	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.21	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.75	32.00	39.00	17.50	7.75	3.00	8.84	-	2.25	-	104.79	84.49	"Lv, Bioresource Technology 2004, 95, 95-101"
52	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.23	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.00	32.00	40.00	17.50	7.50	3.00	8.71	-	2.37	-	108.75	90.60	"Lv, Bioresource Technology 2004, 95, 95-101"
53	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.25	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.50	32.00	39.00	18.25	7.50	2.75	8.16	-	2.18	-	93.78	84.00	"Lv, Bioresource Technology 2004, 95, 95-101"
54	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.27	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.50	32.50	37.50	19.75	7.25	2.50	7.28	-	1.88	-	72.09	70.60	"Lv, Bioresource Technology 2004, 95, 95-101"
55	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	0.00	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.00	33.00	43.00	16.00	6.00	2.00	6.74	-	1.46	-	51.86	68.67	"Lv, Bioresource Technology 2004, 95, 95-101"
56	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.35	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.25	30.00	40.50	17.00	8.00	3.25	9.14	-	2.39	-	115.14	92.09	"Lv, Bioresource Technology 2004, 95, 95-101"
57	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	2.02	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.75	31.00	39.00	17.50	7.75	3.00	8.91	-	2.34	-	109.80	88.70	"Lv, Bioresource Technology 2004, 95, 95-101"
58	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	2.70	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	1.00	32.50	37.50	18.50	7.50	3.00	8.56	-	2.23	-	100.58	85.90	"Lv, Bioresource Technology 2004, 95, 95-101"
59	pine saw dust	dust	0.375	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	4.04	0.22	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.50	32.50	37.50	19.00	7.50	3.00	8.10	-	1.95	-	83.23	75.10	"Lv, Bioresource Technology 2004, 95, 95-101"
60	pine saw dust	dust	0.75	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.23	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.00	32.25	37.50	21.25	6.50	2.50	6.98	-	1.53	-	56.24	77.62	"Lv, Bioresource Technology 2004, 95, 95-101"
61	pine saw dust	dust	0.53	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.23	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.25	32.25	37.50	19.50	7.50	3.00	7.94	-	1.93	-	80.72	84.40	"Lv, Bioresource Technology 2004, 95, 95-101"
62	pine saw dust	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.23	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.25	32.25	40.00	17.00	7.50	3.00	8.71	-	2.37	-	108.75	90.60	"Lv, Bioresource Technology 2004, 95, 95-101"
63	pine saw dust	dust	0.25	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	-	-	-	800.00	continuous	atmospheric	-	1.56	0.23	air + steam	fluidised bed	silica sand	-	small-scale (smaller than pilot)	0.25	30.50	41.00	17.00	7.75	3.50	8.74	-	2.57	-	118.32	95.10	"Lv, Bioresource Technology 2004, 95, 95-101"
