ID	Inputs																											Outputs												References
	Feedstock information				Ultimate Analysis					Proximate Analysis				Lignocellulosic Composition			Gasifier Conditions and Information											Gas Composition								Yield and Process Efficiency				
	Type	Shape	Particle size [mm]	LHV [MJ/kg wb]	C [%daf]	H [%daf]	N [%daf]	S [%daf]	O [%daf]	Ash [%db]	Moisture [%wb]	Volatile Matter [%db]	Fixed carbon  [%db]	Cellulose [%db]	Hemicellulose [%db]	Lignin [%db]	Temperature [°C]	Operation (Batch/Continuous)	Operating Pressure [kPa]	Residence time [min]	Steam/Biomass [wt/wt]	ER	Gasifying agent	Reactor Type	Bed material	Catalyst	Scale	N2 [vol.% db]	H2 [vol.% db]	CO [vol.% db]	CO2 [vol.% db]	CH4 [vol.% db]	C2Hn [vol.% db]	LHV [MJ/Nm3]	Tar [g/Nm3]	Gas yield [Nm3/kg wb]	Char yield [g/kg wb]	CGE [%] (wb)	CCE [%] (wb)	
134	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	800.00	continuous	slightly above atmospheric	-	0.50	0.35	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	53.30	10.40	13.40	20.30	2.60	-	3.76	-	1.44	-	36.40	78.20	"Loha, J Renew and Sust Energy 2013, 5, 043111"
135	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	800.00	continuous	slightly above atmospheric	-	0.50	0.40	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	54.50	9.60	12.20	21.50	2.20	-	3.38	-	1.57	-	35.68	85.50	"Loha, J Renew and Sust Energy 2013, 5, 043111"
136	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	850.00	continuous	slightly above atmospheric	-	0.50	0.35	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	51.80	12.30	14.50	18.40	3.00	-	4.25	-	1.58	-	45.25	86.10	"Loha, J Renew and Sust Energy 2013, 5, 043111"
137	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	800.00	continuous	slightly above atmospheric	-	0.80	0.35	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	51.90	11.80	12.70	21.10	2.50	-	3.79	-	1.46	-	37.21	79.60	"Loha, J Renew and Sust Energy 2013, 5, 043111"
138	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	850.00	continuous	slightly above atmospheric	-	0.80	0.35	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	49.40	13.10	14.20	20.40	2.90	-	4.26	-	1.60	-	45.95	87.30	"Loha, J Renew and Sust Energy 2013, 5, 043111"
139	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	700.00	continuous	atmospheric	60.00	-	0.21	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	22.05	29.87	34.19	9.54	4.05	11.96	36.64	0.64	-	39.66	60.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
140	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	700.00	continuous	atmospheric	75.00	-	0.21	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	24.20	32.76	30.02	9.92	2.85	11.99	21.53	0.76	-	47.21	64.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
141	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	700.00	continuous	atmospheric	55.00	-	0.21	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	20.27	30.61	34.73	10.18	3.65	11.87	35.18	0.89	-	54.74	81.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
142	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	700.00	continuous	atmospheric	68.00	-	0.21	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	22.98	33.30	30.51	10.15	2.43	11.81	22.33	1.02	-	62.42	89.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
143	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	700.00	continuous	atmospheric	45.00	-	0.21	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	21.54	31.29	34.59	9.76	2.49	11.26	33.25	0.87	-	50.76	80.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
144	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	700.00	continuous	atmospheric	75.00	-	0.21	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	23.15	33.46	30.92	10.23	1.98	11.67	20.60	0.97	-	58.65	85.10	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
145	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	750.00	continuous	atmospheric	40.00	-	0.25	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	18.06	34.83	31.88	10.19	4.45	12.63	31.42	1.00	-	65.44	94.50	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
146	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	750.00	continuous	atmospheric	50.00	-	0.25	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	21.87	33.92	31.19	10.00	2.46	11.69	20.08	1.07	-	64.81	94.59	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
147	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	750.00	continuous	atmospheric	50.00	-	0.24	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	18.93	33.69	32.42	10.02	4.28	12.43	40.28	0.97	-	62.47	94.87	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
148	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	750.00	continuous	atmospheric	50.00	-	0.24	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	21.93	34.28	30.60	9.72	2.84	11.86	26.37	1.04	-	63.91	91.22	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
149	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	750.00	continuous	atmospheric	55.00	-	0.24	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	20.20	31.92	33.19	9.84	4.23	12.24	33.16	0.98	-	62.15	92.80	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
150	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	750.00	continuous	atmospheric	51.00	-	0.24	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	22.08	34.15	30.50	9.54	3.08	11.95	24.50	1.05	-	65.01	93.70	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
151	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	800.00	continuous	atmospheric	40.00	-	0.23	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	19.87	36.63	29.73	9.81	3.29	12.25	35.66	1.04	-	66.01	96.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
152	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	800.00	continuous	atmospheric	54.00	-	0.23	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	22.53	35.71	29.26	9.93	1.97	11.68	21.40	1.12	-	67.78	98.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
153	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	800.00	continuous	atmospheric	45.00	-	0.23	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	20.75	34.16	31.82	9.50	3.13	11.82	26.97	1.01	-	61.86	86.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
154	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	800.00	continuous	atmospheric	45.00	-	0.23	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	22.18	33.95	31.95	9.16	2.12	11.23	22.32	0.99	-	57.60	87.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
155	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	800.00	continuous	atmospheric	30.00	-	0.22	oxygen	fluidised bed	alumina	-	laboratory scale	0.00	19.87	36.63	29.73	9.81	3.29	12.25	33.76	1.01	-	64.11	91.00	"Baratieri, Waste Biomass Valor 2010, 1, 283-291"
156	birch wood	-	1.25	19.30	49.20	6.12	0.10	0.01	44.58	0.40	7.00	-	-	-	-	-	800.00	continuous	atmospheric	61.00	-	0.22	oxygen	fluidised bed	alumina	dolomite	laboratory scale	0.00	22.49	34.94	29.62	9.72	2.56	11.84	24.29	1.06	-	65.03	94.00	"Bariateri, Waste Biomass Valor 2010, 1, 283-291"
157	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	700.00	continuous	atmospheric	-	1.16	-	steam	fixed-bed	-	NiO/g-Al2O3	laboratory scale	0.00	34.01	11.34	38.25	10.30	6.10	12.42	94.09	0.88	175.00	53.89	65.60	"Luo, Energy 2012, 44, 391-395"
158	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	750.00	continuous	atmospheric	-	1.16	-	steam	fixed-bed	-	NiO/g-Al2O3	laboratory scale	0.00	40.47	13.26	36.76	5.89	3.62	10.30	63.16	0.95	170.00	48.26	62.03	"Luo, Energy 2012, 44, 391-395"
159	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	800.00	continuous	atmospheric	-	1.16	-	steam	fixed-bed	-	NiO/g-Al2O3	laboratory scale	0.00	46.54	14.65	32.61	2.87	3.33	9.88	31.25	1.28	155.00	62.33	75.16	"Luo, Energy 2012, 44, 391-395"
160	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	850.00	continuous	atmospheric	-	1.16	-	steam	fixed-bed	-	NiO/g-Al2O3	laboratory scale	0.00	51.16	15.66	28.23	2.14	2.81	9.93	3.18	1.32	100.00	64.63	70.50	"Luo, Energy 2012, 44, 391-395"
161	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	900.00	continuous	atmospheric	-	1.16	-	steam	fixed-bed	-	NiO/g-Al2O3	laboratory scale	0.00	54.22	22.72	20.61	1.33	1.12	9.86	0.00	1.75	90.00	85.05	84.87	"Luo, Energy 2012, 44, 391-395"
162	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	900.00	continuous	atmospheric	-	0.25	-	steam	fixed-bed	-	NiO/g-Al2O4	laboratory scale	0.00	38.62	47.57	12.11	0.61	1.09	11.04	14.87	0.78	145.40	42.45	50.38	"Luo, Energy 2012, 44, 391-395"
163	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	900.00	continuous	atmospheric	-	0.40	-	steam	fixed-bed	-	NiO/g-Al2O5	laboratory scale	0.00	40.92	42.33	13.28	2.44	1.03	11.25	6.70	0.91	131.10	50.45	54.68	"Luo, Energy 2012, 44, 391-395"
164	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	900.00	continuous	atmospheric	-	0.73	-	steam	fixed-bed	-	NiO/g-Al2O6	laboratory scale	0.00	52.70	25.91	17.75	2.26	1.38	10.59	0.00	1.14	96.70	59.49	57.38	"Luo, Energy 2012, 44, 391-395"
165	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	900.00	continuous	atmospheric	-	0.91	-	steam	fixed-bed	-	NiO/g-Al2O7	laboratory scale	0.00	53.94	23.57	20.80	1.34	0.35	9.48	0.00	1.31	96.20	61.23	62.86	"Luo, Energy 2012, 44, 391-395"
166	municipal solid waste	particles	5	20.29	51.81	5.76	0.26	0.36	41.81	5.64	0.00	79.90	14.46	-	-	-	900.00	continuous	atmospheric	-	1.16	-	steam	fixed-bed	-	NiO/g-Al2O8	laboratory scale	0.00	54.22	22.72	20.61	1.33	1.12	9.86	0.00	1.75	94.50	85.05	84.87	"Luo, Energy 2012, 44, 391-395"
167	palm kernel shell	-	1.5	17.20	49.74	5.68	1.02	0.27	43.36	4.31	9.61	80.92	14.67	-	-	-	675.00	continuous	atmospheric	-	2.00	-	steam	fluidised bed	calcium oxide	calcium oxide (0.5 wt/wt) + nickel (0.1 wt/wt)	pilot-scale	11.69	55.20	12.69	10.17	10.25	-	12.72	-	0.63	62.98	46.60	23.12	"Khan, Energy Convers. Manag. 2014, 87, 1224-1230"
168	palm kernel shell	-	1.5	17.20	49.74	5.68	1.02	0.27	43.36	4.31	9.61	80.92	14.67	-	-	-	675.00	continuous	atmospheric	-	2.00	-	steam	fluidised bed	calcium oxide	calcium oxide (1 wt/wt) + nickel (0.1 wt/wt)	pilot-scale	12.96	71.47	5.61	0.00	9.95	-	13.78	-	1.19	27.33	95.36	20.96	"Khan, Energy Convers. Manag. 2014, 87, 1224-1230"
169	palm kernel shell	-	1.5	17.20	49.74	5.68	1.02	0.27	43.36	4.31	9.61	80.92	14.67	-	-	-	675.00	continuous	atmospheric	-	2.00	-	steam	fluidised bed	calcium oxide	calcium oxide (1.5 wt/wt) + nickel (0.1 wt/wt)	pilot-scale	12.74	73.85	3.73	1.00	8.68	-	13.34	-	1.30	23.62	100.85	20.61	"Khan, Energy Convers. Manag. 2014, 87, 1224-1230"
170	palm kernel shell	-	0.4275	17.20	49.74	5.68	1.02	0.27	43.36	4.31	9.61	80.92	14.67	-	-	-	676.00	continuous	atmospheric	-	2.00	-	steam	fluidised bed	calcium oxide	calcium oxide (1 wt/wt) + nickel (0.1 wt/wt)	pilot-scale	13.28	71.45	10.72	3.39	1.15	-	10.92	-	1.20	25.91	76.21	20.76	"Khan, Energy Convers. Manag. 2014, 87, 1224-1230"
171	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	700.00	continuous	atmospheric	-	1.23	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	33.00	30.00	19.00	15.50	3.00	13.15	1.85	1.03	-	67.76	75.20	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
172	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	750.00	continuous	atmospheric	-	1.23	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	47.00	24.00	19.50	7.50	3.00	10.85	0.78	1.31	-	71.10	75.80	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
173	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	1.23	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	57.00	15.00	21.50	4.50	2.00	9.76	0.22	1.66	-	81.05	78.50	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
174	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	850.00	continuous	atmospheric	-	1.23	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	59.00	16.50	22.00	2.50	1.50	9.34	0.18	1.85	-	86.44	80.86	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
175	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	0.00	-	-	fixed-bed	-	NiO/MD	laboratory scale	0.00	28.00	35.50	13.50	16.00	7.00	13.62	40.15	0.72	-	49.06	59.19	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
176	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	0.73	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	48.50	22.50	15.50	11.50	3.00	12.11	8.02	1.26	-	76.33	71.00	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
177	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	1.23	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	56.00	17.50	21.00	5.00	1.00	10.09	0.23	1.62	-	81.77	76.79	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
178	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	2.08	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	53.50	17.00	24.00	4.00	2.00	9.38	0.85	1.50	-	70.39	75.73	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
179	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	2.77	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	53.00	16.00	25.00	5.50	1.00	9.73	1.78	1.43	-	69.60	71.78	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
180	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	3.08	-	steam	fixed-bed	-	NiO/MD	laboratory scale	0.00	52.00	15.00	26.50	5.00	2.00	9.40	2.86	1.38	-	64.89	71.16	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
181	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	1.23	-	steam	fixed-bed	-	-	laboratory scale	0.00	31.50	22.00	23.50	13.50	9.50	11.60	38.67	0.78	-	45.26	58.09	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
182	municipal solid waste	particles	5	19.99	53.31	6.91	0.84	0.52	34.30	7.12	9.34	77.52	15.36	-	-	-	800.00	continuous	atmospheric	-	1.23	-	steam	fixed-bed	-	NiO/?-Al2O3	laboratory scale	0.00	51.00	19.00	21.50	7.50	2.00	10.71	0.76	1.40	-	75.02	69.89	"Wang, Int. J. Hydrog 2012, 37, 6503-6510"
183	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	-	0.19	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	55.50	8.40	17.10	13.80	5.20	-	5.00	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
184	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	-	0.24	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	58.20	6.70	15.60	14.90	4.60	-	4.40	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
185	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	-	0.31	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	63.80	4.20	12.20	15.80	4.00	-	3.40	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
186	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	-	0.37	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	66.50	3.20	10.70	16.30	3.30	-	2.80	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
187	pistachio shell	particles	1.25	17.82	50.03	5.93	0.40	0.10	43.55	0.27	0.00	83.17	16.56	-	-	-	770.00	continuous	atmospheric	40.00	-	0.19	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	54.80	5.60	19.10	13.80	6.70	-	5.40	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
188	pistachio shell	particles	1.25	17.82	50.03	5.93	0.40	0.10	43.55	0.27	0.00	83.17	16.56	-	-	-	770.00	continuous	atmospheric	40.00	-	0.24	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	57.20	4.40	17.40	15.20	5.80	-	4.70	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
189	pistachio shell	particles	1.25	17.82	50.03	5.93	0.40	0.10	43.55	0.27	0.00	83.17	16.56	-	-	-	770.00	continuous	atmospheric	40.00	-	0.31	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	61.40	3.60	14.50	16.00	4.50	-	3.80	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
190	pistachio shell	particles	1.25	17.82	50.03	5.93	0.40	0.10	43.55	0.27	0.00	83.17	16.56	-	-	-	770.00	continuous	atmospheric	40.00	-	0.37	air	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	64.60	3.10	12.40	16.30	3.60	-	3.20	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
191	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	0.41	-	steam	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	23.30	32.00	23.20	13.10	8.40	-	9.40	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
192	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	0.63	-	steam	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	9.00	42.40	21.80	19.00	7.80	-	10.10	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
193	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	0.97	-	steam	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	6.70	48.00	17.80	21.80	5.70	-	9.30	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
194	walnut shell	particles	1.25	18.20	54.84	5.50	0.44	0.12	39.10	1.95	0.00	74.23	23.82	-	-	-	770.00	continuous	atmospheric	40.00	1.09	-	steam	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	3.20	52.00	17.00	22.00	5.80	-	9.90	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
195	pistachio shell	particles	1.25	17.82	50.03	5.93	0.40	0.10	43.55	0.27	0.00	83.17	16.56	-	-	-	770.00	continuous	atmospheric	40.00	0.41	-	steam	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	30.60	19.50	28.80	9.50	11.60	-	10.00	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
196	pistachio shell	particles	1.25	17.82	50.03	5.93	0.40	0.10	43.55	0.27	0.00	83.17	16.56	-	-	-	770.00	continuous	atmospheric	40.00	0.65	-	steam	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	10.60	35.50	27.10	15.80	11.00	-	11.20	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
197	pistachio shell	particles	1.25	17.82	50.03	5.93	0.40	0.10	43.55	0.27	0.00	83.17	16.56	-	-	-	770.00	continuous	atmospheric	40.00	0.96	-	steam	bubbling fluidised bed	silica sand	-	laboratory scale (20 kW_th)	5.30	54.00	13.50	21.60	5.60	-	9.60	-	-	-	-	-	"Karatas, Fuel 2018, 214, 285-292"
198	pine wood	pellets	12.7x6.25	18.10	47.52	6.50	0.05	0.01	46.36	0.47	8.90	81.23	18.29	-	-	-	800.00	continuous	205.00	-	-	0.19	air	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	43.74	10.89	18.50	15.05	6.33	2.35	5.77	13.78	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996 "
199	pine wood	pellets	12.7x6.25	18.10	47.52	6.50	0.05	0.01	46.36	0.47	8.90	81.23	18.29	-	-	-	800.00	continuous	205.00	-	0.17	0.29	oxygen-enriched air + steam 	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	19.91	19.72	25.42	23.83	8.31	2.84	7.27	18.67	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996 "
200	pine wood	pellets	12.7x6.25	18.10	47.52	6.50	0.05	0.01	46.36	0.47	8.90	81.23	18.29	-	-	-	800.00	continuous	205.00	-	0.17	0.29	oxygen-enriched air + steam 	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	8.20	22.90	30.60	27.77	10.11	3.66	8.26	19.55	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996 "
201	oak + maple wood (50/50)	pellets	12.7x6.25	17.50	46.56	6.24	0.14	0.02	46.13	1.95	6.25	80.12	17.93	-	-	-	800.00	continuous	205.00	-	-	0.20	air	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	43.34	12.58	18.78	15.06	5.85	1.68	5.58	-	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996"
202	oak + maple wood (50/50)	pellets	12.7x6.25	17.50	46.56	6.24	0.14	0.02	46.13	1.95	6.25	80.12	17.93	-	-	-	800.00	continuous	205.00	-	0.15	0.28	oxygen-enriched air + steam 	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	22.80	19.27	23.57	22.96	8.17	2.55	7.11	8.18	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996"
203	oak + maple wood (50/50)	pellets	12.7x6.25	17.50	46.56	6.24	0.14	0.02	46.13	1.95	6.25	80.12	17.93	-	-	-	800.00	continuous	205.00	-	0.18	0.31	oxygen-enriched air + steam 	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	7.16	22.91	27.43	27.09	9.39	3.06	8.09	6.62	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996"
204	seed corn	as received	-	15.62	40.07	7.10	1.40	0.17	50.50	1.65	15.01	78.16	20.18	-	-	-	800.00	continuous	205.00	-	-	0.22	air	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	53.10	5.65	15.85	13.92	4.58	2.80	4.28	13.47	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996"
205	seed corn	as received	-	15.62	40.07	7.10	1.40	0.17	50.50	1.65	15.01	78.16	20.18	-	-	-	800.00	continuous	205.00	-	0.17	0.34	oxygen-enriched air + steam 	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	27.71	9.85	23.61	21.95	7.47	4.22	5.22	-	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996"
206	seed corn	as received	-	15.62	40.07	7.10	1.40	0.17	50.50	1.65	15.01	78.16	20.18	-	-	-	800.00	continuous	205.00	-	0.17	0.34	oxygen-enriched air + steam 	fluidised bed	silica sand	limestone	pilot-scale (~800kW)	11.37	13.27	30.55	28.86	9.60	5.50	5.49	11.39	-	-	-	-	"Huynh, Fuel 2013, 103, 987-996"
