#,Plastic,Biomass,% Plastic,% Biomass,C (%),H (%),O (%),N (%),S (%),ASH (%),MC (%),VM (%),AIR (Kg/h),ER,FC (%),TEMPERATURE (°C),H2 (%),CO (%),CO2 (%),CH4 (%),N2 (%),Mass Flow Rate (Kg/h),Volumetric Flow Rate (m3/h),Gas Yield (Nm3/Kg),LHV (MJ/Nm3),H2/CO
1299,PU,Rice Husk,84.9815,15.0185,63.1936,7.606,25.3793,3.6632,0.1579,0.6458,1.6963,94.0639,329.0989,0.386,3.594,686.3314,10.0505,21.5136,6.2342,3.4117,58.755,404.2596,348.6351,3.486351,5.0175562,0.467169604
1300,PE,Pistachio Soft Shell,32.1208,67.8792,58.5229,7.3716,32.8024,1.2486,0.0546,13.25,6.754,69.8145,282.342,0.4476,10.1815,916.2812,10.9868,18.1296,7.97,0.1886,62.7131,327.0931,277.6064,2.776064,3.5384228,0.606014474
1301,PP,Colza seed,95.7915,4.2085,83.8194,13.5407,2.4127,0.2273,0,0.3853,0.3404,97.9815,464.9764,0.3322,1.2928,709.2414,16.3901,19.1917,2.9531,3.7826,57.6765,525.0525,495.0834,4.950834,5.5424558,0.854020227
1302,PET,Nectarine Stone,0.1563,99.8437,48.5913,6.2171,44.4628,0.4993,0.2296,1.6468,8.3535,70.5957,182.2723,0.3506,19.404,796.0812,9.1603,12.2276,14.4494,0.946,63.1339,220.754,177.7637,1.777637,2.868658,0.749149465
1303,PP,Plum Stone,75.4412,24.5588,76.3897,12.0695,11.2854,0.2137,0.0417,5.2103,1.8065,91.6959,495.8613,0.4308,1.2873,714.7111,12.0863,18.6849,4.8005,2.8781,61.5405,558.3463,494.7724,4.947724,4.6899776,0.646848525
1304,PET,Cotton Husk,32.2344,67.7656,54.1942,7.088,37.7581,0.9597,0,1.9111,4.1319,83.3948,166.7264,0.2535,10.5622,813.8633,19.6981,27.2358,4.9713,2.0244,46.0675,233.9699,223.6887,2.236887,6.2838408,0.723242938
1305,PET,Spirulina Sp.,35.6439,64.3561,47.426,5.4768,42.4398,4.2906,0.3668,1.2738,3.7749,82.1547,153.4735,0.2954,12.7966,988.5898,15.082,24.0666,8.6372,0.0639,52.0196,212.9174,187.3443,1.873443,4.6841238,0.626677636
1306,PE,Cotton Stem,53.6811,46.3189,68.7342,8.8083,21.6205,0.6403,0.1968,2.1608,6.7436,80.7359,391.3674,0.4317,10.3597,794.7977,10.942,18.0082,6.5664,1.4457,63.0029,443.9165,381.9939,3.819939,3.9683298,0.607612088
1307,PE,Safflower Seed,43.7179,56.2821,65.4512,8.7781,23.9161,1.7803,0.0743,0.7917,5.3132,78.4987,365.8585,0.4121,15.3964,675.2745,8.4912,13.5643,9.0682,2.9638,65.8935,411.4241,342.7913,3.427913,3.6871918,0.625996181
1308,PP,Cherry Stone,30.7523,69.2477,59.9453,8.5595,31.0659,0.2978,0.1316,0.704,5.248,79.2383,297.8105,0.3751,14.8097,955.7814,15.4047,19.4001,6.0017,0.1517,59.013,345.2183,310.1101,3.101101,4.1624288,0.794052608
1309,PS,Coffee Husk,24.7007,75.2993,54.3322,6.7763,38.8916,0,0,1.7561,7.0316,81.45,256.5952,0.4099,9.7623,731.8677,9.0511,16.4591,11.0163,2.1207,61.3501,311.14,256.6955,2.566955,3.810576,0.549914637
1310,PET,Olive Pomace,29.0249,70.9751,57.774,5.6665,36.1294,0.3575,0.0726,3.483,5.3184,82.8837,166.6706,0.261,8.3149,658.5834,10.282,21.4013,10.1742,4.45,53.6618,225.3908,191.1045,1.911045,5.4001198,0.480438104
1311,PET,Plum Stone,70.0432,29.9568,57.991,5.0125,36.6635,0.2821,0.0509,6.3555,2.3507,86.6115,237.1714,0.3833,4.6823,800.911,9.752,25.8475,7.3865,1.4402,55.5599,310.0421,262.3643,2.623643,4.8255926,0.377289873
1312,PET,Castor Seed Hull,79.6377,20.3623,58.5169,4.5691,36.8448,0.0692,0,0.4097,0.833,90.7801,193.3833,0.2936,7.9772,916.4195,14.1057,32.9173,4.194,0.6463,48.1358,274.4713,246.6843,2.466843,5.9023708,0.42851935
1313,PS,Cocoa Pod Husk,10.3098,89.6902,42.8077,5.8987,49.6702,1.4261,0.1973,9.6774,11.0555,69.7538,118.387,0.3087,9.5133,975.4529,15.7464,23.4007,10.5481,0.0764,50.1522,167.5713,146.7066,1.467066,4.6764506,0.672902947
1314,PU,Cotton Stalk,42.2482,57.7518,54.4593,7.4086,34.762,2.5516,0.8184,10.6274,6.3353,74.8416,201.1053,0.3309,8.1957,909.5851,17.4587,24.3918,5.0957,0.6544,52.1984,259.0778,239.7328,2.397328,5.1931816,0.715761034
1315,PE,Beetroot Pellets,88.8322,11.1678,80.7267,10.5333,8.2127,0.3194,0.208,0.0903,0.7859,97.6391,330.4509,0.2673,1.4847,749.2432,19.07,22.4494,2.0707,3.3277,53.0404,392.6722,382.84,3.8284,6.079501,0.84946591
1316,PS,Açaí Seed,38.5576,61.4424,64.055,7.2125,28.2528,0.4797,0,8.8081,5.6834,80.1692,326.7256,0.4432,5.3393,975.3049,12.0189,22.4864,5.5312,0.0797,59.8833,385.5386,335.4165,3.354165,4.1598602,0.534496407
1317,PE,Soy Peel,85.6578,14.3422,80.1089,10.5547,8.5949,0.5958,0.1456,1.0356,1.626,96.0319,484.743,0.4019,1.3065,835.5921,14.9011,23.6368,2.4911,1.4818,57.4684,563.5341,518.4979,5.184979,5.11804,0.630419515
1318,PE,Beetroot Pellets,3.8048,96.1952,40.7298,5.4571,52.1633,1.1527,0.4971,0.778,6.7695,79.8159,159.1645,0.4021,12.6366,899.2579,7.8805,12.7222,17.5457,0.0462,61.6039,205.3727,159.9584,1.599584,2.4706308,0.61942903
1319,PP,Rice Straw,5.077,94.923,52.5153,6.4837,40.7981,0.2029,0,4.948,8.073,77.2747,219.0445,0.3878,9.7043,760.3133,10.1738,18.0997,10.7291,1.8529,59.1422,272.7099,227.5511,2.275511,4.0426708,0.562097714
1320,PP,Cotton Husk,32.5101,67.4899,61.8308,10.1706,27.0527,0.9459,0,1.9033,4.0476,85.0046,231.6685,0.2625,9.0445,656.5342,16.2993,17.5808,5.9824,5.6963,54.4311,281.6639,262.5093,2.625093,6.0147806,0.927107981
1321,PU,Chlorella Vulgaris,43.4787,56.5213,58.0088,7.2739,26.8826,7.45,0.3848,1.0883,5.4458,83.67,279.6057,0.3756,9.7959,794.0089,12.4608,20.1934,6.3222,1.6412,59.296,341.1882,298.8068,2.988068,4.4776844,0.617072905
1322,PU,Açaí Seed,82.7847,17.2153,62.584,7.9575,25.7065,3.6114,0.1407,2.4463,2.089,92.7353,280.3517,0.3348,2.7294,845.8886,17.1847,27.1645,2.6587,1.5506,51.4118,360.8628,340.0454,3.400454,5.8337894,0.632616098
1323,PU,Spirulina Sp.,95.6109,4.3891,64.53,8.1848,22.7902,4.3075,0.1876,0.0869,0.8259,96.9139,349.3043,0.3835,2.1733,756.4929,12.9059,23.4488,4.3403,2.348,56.9212,428.009,382.6273,3.826273,5.18897,0.550386374
1324,PET,Cocoa Beans Husk,88.1643,11.8357,59.9306,4.5178,35.1778,0.3394,0.0343,0.9469,1.5002,91.4784,189.8044,0.2826,6.0745,692.6173,9.0678,26.5457,8.3173,3.2533,52.8016,262.3796,221.1183,2.211183,5.488762,0.341592047
1325,PET,Rice Straw,7.2281,92.7719,51.5735,5.9628,42.2633,0.2005,0,4.8358,7.9052,77.4308,213.0025,0.3974,9.8282,802.6272,9.8789,18.4431,11.2455,1.2058,59.2251,267.1581,220.9706,2.209706,3.8224282,0.535642056
1326,PS,Durian Shell,36.7342,63.2658,71.29,8.4799,18.2309,1.9359,0.0633,4.3165,2.7823,82.2209,288.3015,0.302,10.6803,828.1723,17.9847,26.5859,1.9493,1.8872,51.5786,361.4226,345.8469,3.458469,5.9677886,0.676475124
1327,PS,Hazelnut Shell,41.5954,58.4046,67.1896,6.5737,25.4192,0.8176,0,0.7096,5.0008,90.3165,271.7192,0.3261,3.9731,773.8627,13.4302,29.4941,2.6629,2.4127,51.9974,354.1302,321.9037,3.219037,6.0304648,0.455352087
1328,PP,Cotton Husk,75.2583,24.7417,76.8609,12.5011,10.2912,0.3468,0,0.6977,1.4839,94.186,379.5645,0.3077,3.6324,732.0287,18.7471,21.5338,2.4207,3.5828,53.7101,447.4449,434.2179,4.342179,6.020588,0.870589492
1329,PP,Rice Husk,2.8843,97.1157,50.1204,4.0822,45.1029,0.6076,0.0868,4.176,7.6721,73.0845,155.106,0.338,15.0674,983.769,8.4195,20.9535,13.5493,0.0117,57.0336,209.3925,167.6674,1.676674,3.5536356,0.401818312
1330,PP,Coconut Shell,99.6324,0.3676,85.4146,13.8213,0.7634,0.0007,0,0.014,0.0526,99.4172,487.2444,0.3375,0.5162,964.5521,22.8751,25.3278,0.3451,1.0241,50.4263,582.0307,593.0323,5.930323,6.0284414,0.903161743
1331,PU,Peach Stone,93.2538,6.7462,64.0058,8.191,23.442,4.1825,0.1788,0.1701,0.9327,96.0025,365.3406,0.4057,2.8947,999.4262,15.6718,24.4666,3.3612,0.1126,56.3578,440.6695,403.7375,4.037375,4.8156568,0.64053853
1332,PS,Chlorella Vulgaris,95.0471,4.9529,88.3133,8.3981,2.7685,0.4928,0.0272,0.2855,0.4544,98.4585,562.6455,0.4413,0.8016,774.7952,9.6193,23.836,3.1702,1.8443,61.5251,646.7471,561.9045,5.619045,4.7024798,0.403561839
1333,PU,Cocoa Beans Husk,18.2432,81.7568,47.3438,6.326,43.1375,2.9246,0.2681,6.5405,9.1935,73.0933,185.1249,0.3814,11.1727,849.2677,11.5567,17.5305,11.0455,0.7034,59.0814,233.0534,195.6723,1.956723,3.7087838,0.659233907
1334,PP,Soy Peel,88.9001,11.0999,81.0628,13.0564,5.5588,0.3219,0,0.8015,1.2584,96.4977,412.7508,0.3126,1.4424,815.7342,21.2276,24.0932,1.0396,2.4583,51.178,494.4032,495.4702,4.954702,6.2083954,0.881061876
1335,PU,Colza seed,40.128,59.872,52.8235,7.2143,34.9755,4.9185,0.0682,5.4809,5.0833,77.2598,223.4012,0.3558,12.176,738.3442,11.7188,17.4024,9.0195,2.3571,59.4807,275.6226,236.4466,2.364466,4.3021746,0.67340137
1336,PP,Coconut Shell,46.9043,53.0957,64.5631,9.7035,25.6325,0.1009,0,2.0176,7.5927,87.5535,265.5327,0.3058,2.8362,790.5144,19.6862,26.4932,2.3307,2.5071,48.9792,341.0875,332.874,3.32874,6.3617946,0.743066145
1337,PET,Hazelnut Shell,43.2013,56.7987,55.7127,4.8279,38.651,0.8083,0,0.6092,4.954,88.3696,254.0588,0.423,6.0672,992.8277,9.5513,24.3248,8.083,0.0263,58.0142,322.8653,269.8308,2.698308,4.1058806,0.392656877
1338,PET,Rice Husk,96.2718,3.7282,61.6814,4.3134,33.949,0.0528,0.0033,0.1603,0.4967,93.8553,253.9645,0.3617,5.4877,797.056,9.054,28.956,5.9695,1.4999,54.5186,337.2705,285.9791,2.859791,5.1632522,0.31268131
1339,PP,Rubber Wood,81.2323,18.7677,79.0658,12.4792,8.4173,0.0378,0,0.9078,1.3094,94.5833,382.174,0.3021,3.1995,901.4679,23.4097,25.7665,0.5272,1.6476,48.6469,469.3036,482.2211,4.822211,6.3646674,0.908532397
1340,PS,Spirulina Sp.,0.3219,99.6781,39.424,6.1177,47.2616,6.6286,0.5682,1.9736,5.7308,75.2911,181.4654,0.4302,17.0045,929.5474,5.0823,6.7876,16.8433,0.0015,71.0607,214.6271,163.6292,1.636292,1.404663,0.748762449
1341,PET,Chlorella Vulgaris,73.0995,26.9005,59.461,4.9164,32.7757,2.699,0.148,0.518,2.6212,88.7788,285.6352,0.4171,8.082,790.1013,7.8449,21.4684,8.9173,1.2723,60.4617,356.7065,293.4089,2.934089,4.007751,0.365416147
1342,PU,Sorghum Bagasse,14.6066,85.3934,67.9421,8.5904,22.6413,0.6818,0.1445,5.1848,7.8016,74.6644,274.1937,0.3225,12.3492,881.7748,17.9578,24.4411,3.1629,1.0631,53.3454,334.851,316.3567,3.163567,5.3996108,0.734737798
1343,PU,Castor Seed Hull,36.8079,63.1921,52.129,6.5169,39.6066,1.685,0.0626,1.2714,2.2869,83.7415,231.8084,0.3707,12.7002,696.2148,8.9212,15.3327,12.0872,2.7048,60.9322,287.027,235.6214,2.356214,3.8637282,0.581841424
1344,PP,Elephant Grass,9.8327,90.1673,46.2114,6.0506,45.9111,1.827,0,0.5495,10.5672,74.1022,156.4517,0.3272,14.7811,910.2659,13.1326,18.4374,11.6463,0.2298,56.553,202.956,172.0902,1.720902,3.8237016,0.712280473
1345,PS,DDGS,9.1664,90.8336,55.7499,7.2906,31.7047,4.5271,0.7278,11.2047,7.8249,69.7841,164.1939,0.2675,11.1863,906.7443,20.9029,26.8373,3.4837,0.9389,47.6444,223.7628,217.7332,2.177332,5.9751392,0.778874924
1346,PE,Cotton Husk,60.2463,39.7537,71.8358,10.0862,17.2919,0.6837,0.1024,1.1211,2.3842,91.2509,295.6084,0.2807,5.2438,717.081,17.5478,22.1513,3.2377,3.8302,53.2069,358.6982,341.9646,3.419646,6.0574378,0.79217924
1347,PET,Cotton Stalk,17.2671,82.7329,48.9935,6.3503,42.4679,1.1187,1.0696,15.2243,8.7489,64.3071,125.6617,0.2733,11.7197,969.8336,18.9017,26.0523,6.7487,0.2062,47.7353,175.8255,163.0178,1.630178,5.397793,0.725529032
1348,PU,Soybean Cake,5.468,94.532,56.4276,6.6669,27.8842,9.0121,0.0093,4.8873,31.2284,54.378,144.6824,0.2938,9.5063,982.1631,19.4812,27.4968,2.7793,0.3041,49.9353,195.1444,187.2721,1.872721,5.6774342,0.708489715
1349,PP,Rice Husk,58.2943,41.7057,70.3407,9.6553,19.7058,0.2609,0.0373,1.7933,3.2948,88.156,323.2254,0.3244,6.7559,759.1647,16.7361,24.5423,2.8387,2.7599,53.1125,396.7464,373.8708,3.738708,5.8878728,0.681928752
1350,PET,Açaí Seed,20.2351,79.7649,50.5862,5.987,42.7978,0.629,0,11.3346,7.4207,73.2811,141.9668,0.2888,7.9636,737.6431,13.8377,25.3631,8.6066,2.8392,49.3495,201.4339,177.3926,1.773926,5.7066558,0.545583939
1351,PE,Elephant Grass,81.5533,18.4467,77.8524,10.0932,11.3707,0.545,0.1386,0.1124,2.1619,94.6955,520.0636,0.4488,3.0302,742.9989,10.4782,19.4237,5.1554,2.1999,62.7214,587.709,509.5714,5.095714,4.366596,0.539454378
1352,PET,Cherry Stone,72.1613,27.8387,58.3839,4.856,36.5655,0.1418,0.0529,0.283,2.2613,87.8836,196.3836,0.2979,9.5721,668.833,8.3384,22.9973,10.237,3.6151,54.7913,265.718,220.1753,2.201753,5.0924128,0.362581694
1353,PE,Olive Pomace,88.7168,11.2832,82.5946,10.6371,6.3641,0.2417,0.1624,0.5537,0.8358,97.5062,429.0863,0.34,1.1043,791.0063,16.5035,25.0093,1.5286,2.4416,54.4912,510.8525,483.6326,4.836326,5.8076426,0.659894519
1354,PS,Castor Seed Hull,41.7975,58.2025,63.4445,6.7469,29.6806,0.128,0,1.2546,1.9029,85.6502,310.123,0.3866,11.1923,915.2842,12.6963,22.6232,5.951,0.3718,58.3568,373.0008,326.3323,3.263323,4.354828,0.561207079
1355,PS,Peach Stone,28.3873,71.6127,54.7691,7.3968,34.7975,2.8218,0.2148,1.8625,3.9625,78.1958,225.7981,0.3286,15.9792,787.4515,13.6753,18.1776,8.2317,1.7587,58.0957,276.276,242.2031,2.422031,4.3969246,0.752316037
1356,PS,Chlorella Vulgaris,6.2376,93.7624,54.4766,6.6246,29.0538,9.3294,0.5157,1.8179,8.6013,74.4051,255.2603,0.3928,15.1757,979.2919,11.7258,17.9719,7.3055,0.0347,62.837,303.1591,259.982,2.59982,3.5432684,0.652451883
1357,PP,Corn Cobs,55.6047,44.3953,68.7075,10.4094,20.6522,0.2309,0,0.2679,6.1235,85.9824,391.7212,0.3977,7.6262,973.2193,17.2883,21.6641,3.5525,0.1977,57.2965,450.7946,419.9062,4.199062,4.6675896,0.798016073
1358,PE,Elephant Grass,87.9158,12.0842,80.6558,10.475,8.2904,0.4295,0.1495,0.0736,1.4162,96.5183,452.7152,0.3695,1.9919,785.7342,15.1881,24.723,1.9889,2.289,55.788,536.3659,498.651,4.98651,5.5748748,0.614330785
1359,PS,Sugarcane Straw,12.3359,87.6641,48.8887,6.2731,44.6577,0.1805,0,10.5369,6.5499,74.1719,205.8559,0.4236,8.7413,916.94,10.9423,18.6285,10.715,0.1554,59.5581,254.4911,212.3388,2.123388,3.5845926,0.587395657
1360,PP,Beetroot Pellets,97.3039,2.6961,84.3031,13.6176,2.0335,0.0321,0.0138,0.0218,0.1897,98.9478,586.7478,0.4142,0.8407,660.8152,10.5458,15.4862,5.4517,4.0492,64.4589,639.5539,558.6915,5.586915,4.5398212,0.680980486
1361,PE,Colza seed,55.7546,44.2454,67.4943,9.1205,20.7841,2.5063,0.0948,4.0504,3.5787,83.8035,319.7872,0.3479,8.5674,841.2689,16.7887,23.4197,3.3482,1.4562,54.968,386.0995,360.432,3.60432,5.2853814,0.7168623
1362,PP,Durian Shell,58.9737,41.0263,75.2009,11.6428,11.8599,1.2554,0.041,2.7515,1.8043,88.2234,361.7528,0.3141,7.2208,728.4894,17.5962,21.8518,2.6644,3.5318,54.3438,429.1142,410.3058,4.103058,5.9181008,0.805251741
1363,PS,Sorghum Bagasse,0.5399,99.4601,68.4454,8.6427,22.693,0.0796,0.1393,6.04,8.9847,70.8453,343.4395,0.4098,14.13,808.4136,11.5038,17.8307,6.6402,1.3051,62.6937,389.0469,336.3001,3.363001,3.9563044,0.645168165
1364,PU,Pistachio Soft Shell,5.8198,94.1802,46.7033,5.7183,45.6854,1.8832,0.0099,18.384,9.4058,58.0059,141.1959,0.3584,14.2043,802.1586,9.7612,15.4177,14.025,1.0704,59.7207,180.9165,146.9719,1.469719,3.380043,0.633116483
1365,PE,Cocoa Beans Husk,68.0069,31.9931,72.3093,9.5012,16.9937,0.9874,0.2084,2.5594,3.5548,89.6065,255.8637,0.2526,4.2793,746.076,19.6717,24.0491,2.3672,3.4797,50.3835,319.4123,313.1424,3.131424,6.4004628,0.817980714
1366,PU,Açaí Seed,8.3342,91.6658,49.1513,6.5625,43.2062,1.0658,0.0142,13.0257,8.5291,70.3553,131.1598,0.2746,8.0899,995.4894,20.5799,28.4737,5.4166,0.169,45.3554,187.7222,178.9806,1.789806,5.8708174,0.72276873
1367,PE,DDGS,49.2291,50.7709,68.8669,9.1534,18.8556,2.6338,0.4905,6.2525,4.3737,83.1114,308.5196,0.3378,6.2624,960.8809,19.6321,26.0771,1.8218,0.5113,51.8731,380.6797,368.6732,3.686732,5.5890268,0.752848285
1368,PET,Rubber Wood,40.8756,59.1244,55.5402,5.6415,38.6867,0.1316,0,2.86,4.2108,82.0446,154.6051,0.2512,10.8846,888.0546,18.1302,31.0403,4.6944,1.0626,45.071,224.9328,210.7474,2.107474,6.2495502,0.58408585
1369,PET,Sunflower Seed Hulls,9.3016,90.6984,74.7136,3.2147,20.7084,1.3633,0,0.907,9.5429,73.9291,341.2483,0.435,15.621,858.002,4.9371,22.1425,7.9125,0.3294,64.6781,405.7675,325.3337,3.253337,3.441087,0.222969403
1370,PP,Coffee Husk,94.2208,5.7792,83.0753,13.4086,3.5161,0,0,0.131,0.5397,98.1089,517.3494,0.3742,1.2204,803.8417,17.7375,22.5775,1.9241,2.0966,55.6613,597.0137,570.4443,5.704443,5.5109978,0.785627284
1371,PS,Colza seed,64.8051,35.1949,74.0106,7.7942,16.2947,1.9005,0,3.3515,2.8466,86.9958,245.9936,0.2514,6.8061,807.267,18.8799,27.5941,1.4269,2.4715,49.6247,315.6387,307.1109,3.071109,6.4006828,0.684200608
1372,PS,Sorghum Bagasse,56.9722,43.0278,80.7889,8.56,10.5564,0.0344,0.0603,2.7265,3.8869,87.2738,289.4038,0.2645,6.1128,702.7521,14.4691,20.5123,3.8972,3.7987,57.3044,337.7379,309.9933,3.099933,5.5071472,0.705386524
1373,PE,Cotton Stem,77.238,22.762,77.5051,10.0247,11.8657,0.4215,0.1832,1.0619,3.3139,90.5231,373.8351,0.332,5.1011,855.4044,18.4282,26.4497,1.2311,1.6768,52.1844,456.1084,440.2863,4.402863,5.9232022,0.696726239
1374,PET,Cotton Stem,92.6807,7.3193,61.1874,4.4582,34.2259,0.1117,0.0167,0.3415,1.2603,92.0361,209.0849,0.3015,6.3621,974.6829,14.3797,34.6728,2.6294,0.3234,47.9898,294.3528,267.5856,2.675856,6.0375576,0.414725664
1375,PS,Pistachio Soft Shell,38.0282,61.9718,62.5174,6.6769,29.7274,1.0783,0,12.1729,6.1662,72.3713,268.2009,0.3993,9.2896,929.3217,12.5221,22.8527,5.8425,0.274,58.5079,323.467,282.5588,2.825588,4.329919,0.547948382
1376,PS,Durian Shell,98.393,1.607,89.7201,8.4966,1.7326,0.0492,0.0016,0.3046,0.0707,99.3534,355.4405,0.2727,0.2713,676.392,11.5702,16.8992,4.8142,3.9837,62.7264,392.5793,347.8306,3.478306,4.8050454,0.684659629
1377,PS,DDGS,18.1475,81.8525,59.1562,7.4099,28.6987,4.0794,0.6558,10.1166,7.0512,72.7519,258.2378,0.3835,10.0803,771.3959,11.5635,19.404,7.134,1.8786,59.8752,311.5104,269.2571,2.692571,4.3663008,0.595933828
1378,PP,Soy Peel,43.9227,56.0773,62.84,9.8409,25.6927,1.6264,0,4.0493,6.3574,84.3323,266.6024,0.3144,5.261,830.1901,20.2567,24.8497,2.7604,1.8477,50.2827,335.8123,327.7331,3.277331,5.9802624,0.815168795
1379,PET,Cotton Stalk,30.9157,69.0843,51.1673,6.0176,40.9828,0.9392,0.8931,12.7128,7.3403,69.3193,152.6553,0.3072,10.6276,772.022,13.1185,22.8514,9.1175,2.1082,52.5205,206.8704,179.5456,1.795456,5.05081,0.574078612
1380,PU,Soy Peel,72.2692,27.7308,59.9648,7.842,28.2307,3.8396,0.1229,2.0024,3.5773,90.8506,312.8935,0.3981,3.5697,868.4552,14.3261,23.165,4.8318,0.935,56.7171,382.6031,343.7059,3.437059,4.8007388,0.618437298
1381,PP,Castor Seed Hull,7.1012,92.8988,47.1649,6.0837,46.547,0.2044,0,1.8691,3.0373,77.1937,211.3821,0.4062,17.8999,858.1947,7.5207,10.8311,15.4437,0.1496,66.0543,250.1293,196.6439,1.966439,2.230511,0.694361607
1382,PET,Cotton Stem,51.9509,48.0491,55.7204,5.1518,38.4552,0.5632,0.1095,2.2415,7.1046,77.2689,173.0765,0.2942,13.385,860.1241,13.4486,26.2974,7.5186,0.9799,51.7205,235.5143,206.1743,2.061743,5.1167254,0.511404169
1383,PU,Beetroot Pellets,42.2272,57.7728,50.2358,6.5179,40.4188,2.461,0.3664,0.4673,4.319,86.9958,218.8008,0.3687,8.2179,799.7272,12.2364,20.2814,9.2496,1.5151,56.6142,280.4469,240.5101,2.405101,4.4193934,0.603331131
1384,PU,Rice Husk,56.5973,43.4027,58.4756,6.3321,32.4086,2.6486,0.135,1.8663,3.7683,86.7947,289.3969,0.4111,7.5707,961.2645,12.1157,22.829,6.3214,0.1126,58.5917,353.7248,306.5603,3.065603,4.2252604,0.530715318
1385,PET,Beetroot Pellets,72.247,27.753,55.7229,4.5824,39.2008,0.3524,0.1415,0.2245,2.1048,90.3406,235.1883,0.3851,7.3301,804.4735,8.7417,23.857,9.4784,1.2242,56.6596,308.7457,255.2465,2.552465,4.3883492,0.366420757
1386,PU,Corn Cobs,19.3964,80.6036,51.1088,6.5228,41.1016,1.2338,0.033,0.4864,11.2341,74.6492,227.7002,0.4089,13.6303,751.8331,8.3619,13.4838,12.8795,1.6055,63.658,273.073,220.9021,2.209021,3.176813,0.620144173
1387,PE,Spirulina Sp.,27.002,72.998,51.8753,7.4844,35.2672,4.9111,0.462,1.4448,4.1969,81.8999,274.7942,0.4176,12.4584,841.6213,11.2221,15.4711,9.2557,0.7372,63.2009,322.3748,272.7246,2.727246,3.425263,0.725358895
1388,PP,Cotton Husk,81.2842,18.7158,78.9796,12.8297,7.9284,0.2623,0,0.5278,1.1225,95.4802,513.9425,0.3999,2.8695,691.5421,12.7472,18.873,4.2538,3.6415,60.4789,580.7593,521.8781,5.218781,5.0583526,0.675419912
1389,PP,Corn Cobs,34.0291,65.9709,60.5175,8.7373,30.4022,0.343,0,0.3981,9.0994,79.4131,314.6758,0.4044,11.0894,723.0291,10.7429,16.1028,8.3636,2.4528,62.3343,363.5111,310.2251,3.102251,4.0672884,0.667144844
1390,PE,Rubber Wood,42.8537,57.1463,65.9655,8.5403,25.2163,0.2051,0.0729,2.7643,3.9869,84.7347,291.3502,0.333,8.5141,693.7851,12.8895,22.2009,5.2499,3.7411,55.8985,357.8663,320.1556,3.201556,5.5286932,0.580584571
1391,PU,Cotton Husk,54.7351,45.2649,58.7692,8.3335,29.871,2.9333,0.093,1.2765,3.0431,88.9079,309.2738,0.3902,6.7725,941.3316,15.9183,22.2047,4.8878,0.3097,56.6602,372.3389,338.9735,3.389735,4.6278412,0.716888767
1392,PS,Sorghum Bagasse,54.3468,45.6532,80.2146,8.5639,11.121,0.0365,0.064,2.8806,4.1241,86.5095,307.3755,0.2842,6.4858,772.3706,16.3967,25.3576,1.9559,2.7183,53.5563,373.0979,352.2912,3.522912,5.9390526,0.646618765
1393,PU,Chlorella Vulgaris,1.8915,98.1085,52.357,6.5337,30.7252,9.8412,0.5428,1.8891,9.0113,73.1923,168.226,0.2733,15.9073,967.2155,19.0845,23.6693,4.7577,0.2476,52.0799,224.7674,211.7468,2.117468,5.1320986,0.806297609
1394,PU,Plum Stone,61.4398,38.5602,58.9535,7.6322,30.3283,2.9159,0.17,8.1807,3.205,86.2699,216.0894,0.3024,2.3444,900.18,19.9975,29.5786,2.1207,1.1453,47.1192,293.5661,285.8639,2.858639,6.296651,0.676080004
1395,PP,Cocoa Pod Husk,32.3074,67.6926,52.9322,8.2654,37.5772,1.0763,0.1489,7.2883,8.344,77.0261,222.4986,0.3608,7.3416,794.9043,15.0322,20.3131,7.1572,1.8274,55.6316,275.6148,246.7805,2.467805,4.8371374,0.74002491
1396,PU,Colza seed,3.6378,96.3622,44.9818,6.5648,43.0909,5.3563,0.0062,8.8214,7.8158,64.6739,164.9275,0.3547,18.6889,862.6767,10.6429,12.1932,12.7377,0.2959,64.1272,198.7234,163.466,1.63466,2.7917086,0.872855362
1397,PP,Cocoa Beans Husk,55.4962,44.5038,66.7304,10.3075,21.6581,1.1749,0.1291,3.5603,4.9449,85.2835,373.9312,0.3993,6.2113,958.457,17.3222,21.7422,3.6149,0.2733,57.0258,433.5558,403.9604,4.039604,4.7081562,0.796708705
1398,PE,Coffee Husk,58.3675,41.6325,67.9058,9.1233,22.7492,0.1226,0.0992,0.9436,3.8877,89.7595,303.3691,0.3219,5.4092,777.5258,17.1056,25.6973,2.7663,2.485,51.924,379.524,358.7575,3.587575,5.9748946,0.665657482
1399,PP,Peach Stone,29.0462,70.9538,53.7472,8.9618,34.2822,2.7959,0.2129,1.7891,3.9261,78.3074,237.314,0.3254,15.9774,984.5121,19.3408,19.4048,5.506,0.1058,55.5888,282.9126,265.8122,2.658122,4.5716876,0.996701847
1400,PP,Coffee Husk,32.8831,67.1169,56.7039,8.7235,34.5726,0,0,1.5212,6.2675,83.3454,319.6051,0.4342,8.8659,895.7597,13.246,17.9193,7.3329,0.409,61.0918,368.0616,321.0861,3.210861,3.8348218,0.739202982
1401,PE,Sugarcane Straw,85.1472,14.8528,79.6075,10.4217,9.6167,0.2094,0.1448,1.7811,1.1097,95.6111,480.4422,0.404,1.4981,885.0113,15.6466,24.0419,2.3257,0.9786,56.9871,558.9913,517.7184,5.177184,5.069451,0.650805469
