#,Plastic,Biomass,% Plastic,% Biomass,C (%),H (%),O (%),N (%),S (%),ASH (%),MC (%),VM (%),AIR (Kg/h),ER,FC (%),TEMPERATURE (°C),H2 (%),CO (%),CO2 (%),CH4 (%),N2 (%),Mass Flow Rate (Kg/h),Volumetric Flow Rate (m3/h),Gas Yield (Nm3/Kg),LHV (MJ/Nm3),H2/CO
140,PET,Cotton Husk,97.5454,2.4546,61.881,4.4334,33.6214,0.0643,0,0.0692,0.3521,94.2809,189.2219,0.2659,5.2978,976.6262,16.1729,38.3094,0.862,0.6509,44.004,281.1584,264.0348,2.640348,6.8066798,0.422165317
141,PP,Plum Stone,84.6608,15.3392,79.8324,12.7379,7.2702,0.1335,0.0261,3.2543,1.1283,94.6257,420.9971,0.3345,0.9917,786.8486,19.1264,24.0196,1.4405,2.6956,52.7108,502.0585,490.3778,4.903778,6.0571456,0.796283036
142,PU,Cotton Stalk,2.2734,97.7266,46.6856,6.8055,43.8309,1.4107,1.2673,17.9835,10.3053,58.8739,121.3556,0.2856,12.8373,916.9022,18.1133,22.3143,8.307,0.4548,50.3735,164.1178,149.5069,1.495069,4.9306566,0.811735076
143,PE,Rice Straw,79.1388,20.8612,78.6302,10.1339,10.8906,0.2108,0.1345,1.0874,1.7742,94.9954,411.9452,0.3539,2.143,845.7142,17.1977,26.2227,1.3949,1.6943,53.4692,497.4084,473.1547,4.731547,5.7679712,0.655832542
144,PS,Rice Straw,67.3752,32.6248,77.3291,7.7116,14.8896,0.0697,0,1.8354,2.7747,92.0633,299.4572,0.2896,3.3266,968.377,19.299,30.0667,0.3706,0.955,49.3075,381.6043,372.8523,3.728523,6.2145862,0.641872903
145,PS,Soybean Cake,82.996,17.004,84.3666,8.1699,5.8837,1.5797,0,1.0451,5.6113,91.6483,293.4271,0.2579,1.6953,764.0558,16.4998,24.6386,1.6802,2.966,54.2117,352.6048,334.3678,3.343678,5.94827,0.66967279
146,PS,Rice Husk,61.0724,38.9276,74.1885,6.6655,18.8676,0.2435,0.0348,1.796,3.0753,89.0949,258.2315,0.2728,6.0338,676.6643,10.65,19.942,6.4622,3.8627,59.069,309.379,268.6161,2.686161,5.0457386,0.534048741
147,PP,Cotton Stalk,6.3907,93.6093,48.7561,7.2236,41.5503,1.2598,1.2102,17.2258,9.8581,60.6201,200.9775,0.4307,12.296,925.1021,10.7687,15.2497,10.4792,0.0804,63.1005,236.0324,196.6741,1.966741,3.113265,0.706158154
148,PE,DDGS,67.2577,32.7423,74.9437,9.8801,13.0265,1.7731,0.3767,4.0323,2.8206,89.1014,456.3505,0.43,4.0457,749.7343,11.3128,19.9416,4.8687,2.2049,61.6154,521.4174,456.7102,4.567102,4.5237782,0.567296506
149,PP,Peach Stone,58.4684,41.5316,66.9389,10.9888,20.3112,1.6365,0.1246,1.0472,2.2981,87.0952,431.0939,0.4235,9.5595,991.8285,16.1503,19.1459,4.2701,0.0778,60.336,481.4072,440.6159,4.406159,4.1844682,0.843538303
150,PP,Soy Peel,32.0612,67.9388,58.0343,8.9929,31.0025,1.9704,0,4.9058,7.7021,81.1241,210.7305,0.2868,6.268,977.7509,24.0352,27.1527,2.2728,0.4608,46.0771,279.371,283.6953,2.836953,6.1820082,0.885186372
151,PU,Colza seed,90.3862,9.6138,63.624,8.1089,23.7981,4.3154,0.1537,0.8801,1.3198,94.5943,255.2853,0.2894,3.2058,946.798,21.7295,30.1104,0.8216,0.9847,46.3232,344.9769,345.5229,3.455229,6.493219,0.721660954
152,PP,Durian Shell,96.1449,3.8551,84.5866,13.6426,1.649,0.118,0.0039,0.2585,0.1695,98.4405,427.3602,0.3011,1.1315,668.4999,15.5705,15.2407,3.9634,4.8604,60.3558,465.781,434.7047,4.347047,5.3419654,1.021639426
153,PU,Sugarcane Straw,71.8237,28.1763,59.318,7.6263,29.8589,3.0746,0.1221,3.3788,2.5361,90.2054,330.4214,0.4331,3.8797,856.0042,12.2908,21.141,6.2217,0.873,59.4489,395.7512,345.0222,3.450222,4.3037064,0.581372688
154,PS,Sorghum Bagasse,67.78,32.22,83.1529,8.5442,8.232,0.0258,0.0451,2.0919,2.9106,90.4201,444.1237,0.3871,4.5774,927.2554,14.8137,26.5615,1.5825,0.6738,56.3613,525.1011,483.6654,4.836654,5.187849,0.557713232
155,PP,Soy Peel,7.809,92.191,48.2083,7.259,41.8588,2.6738,0,6.657,10.4515,74.5645,195.0239,0.3769,8.327,673.7225,9.9097,15.4068,11.7185,3.382,59.5774,244.7638,203.9015,2.039015,4.2222604,0.643203001
156,PU,Coconut Shell,19.9219,80.0781,49.9343,6.4867,42.5562,0.9889,0.0339,3.043,11.5707,81.1657,178.2142,0.341,4.2206,887.9419,16.0066,26.0642,6.6571,0.809,50.4525,241.5534,218.1393,2.181393,5.302424,0.614122052
157,PE,Cotton Husk,76.4249,23.5751,77.5921,10.5395,11.2476,0.4909,0.1299,0.6648,1.4139,94.8034,405.0162,0.3451,3.1179,679.9847,12.2916,18.3396,4.916,3.9374,60.4884,461.499,411.5711,4.115711,5.0478716,0.670221815
158,PS,Cotton Stem,43.1293,56.8707,66.6257,7.0976,25.4995,0.6478,0.1296,2.7393,8.2799,76.2743,255.4859,0.3202,12.7065,671.0289,10.1571,20.1264,7.2371,3.8505,58.5934,312.1742,268.3931,2.683931,5.0113722,0.504665514
159,PET,Sorghum Bagasse,65.5059,34.4941,64.2938,5.8203,29.7899,0.0476,0.0483,2.0944,3.2536,86.4107,205.6052,0.2694,8.2413,704.8886,12.0252,25.9949,5.924,3.4596,52.5786,272.2613,240.0632,2.400632,5.8126158,0.462598433
160,PET,Safflower Seed,61.5979,38.4021,57.3064,5.318,36.2047,1.1709,0,0.5402,3.7546,82.0645,182.3733,0.2796,13.6407,783.9305,13.1648,26.4917,7.0244,1.9786,51.3381,249.8015,219.7717,2.197717,5.4680914,0.496940551
161,PET,Rubber Wood,65.8281,34.1719,58.3381,5.0896,36.4833,0.089,0,1.653,2.5223,87.3814,262.8433,0.4008,8.4433,729.7841,7.463,20.5588,10.3561,2.0407,59.5792,332.1576,270.8771,2.708771,4.1269834,0.363007569
162,PU,Cocoa Pod Husk,28.7712,71.2288,45.5109,6.3711,45.5715,2.3409,0.2056,7.6691,8.9525,75.3946,137.4849,0.3017,7.9838,739.9519,14.0107,21.7632,10.4436,2.7197,50.9873,193.4375,168.5779,1.685779,5.2289714,0.643779407
163,PET,Spirulina Sp.,53.5964,46.4036,51.5389,5.1579,39.9365,3.1022,0.2645,0.9185,2.7804,85.6515,181.4207,0.3172,10.6496,706.9502,9.8008,21.7771,10.7869,2.8093,54.7364,248.9919,207.7865,2.077865,4.8081304,0.450050741
164,PP,Plum Stone,65.3706,34.6294,72.6294,11.3394,15.6711,0.3013,0.0589,7.3468,2.5473,88.4957,307.7736,0.2964,1.6102,662.3565,14.6417,16.4323,5.1579,5.0458,58.702,351.072,322.1368,3.221368,5.4581698,0.891031688
165,PP,Beetroot Pellets,90.8267,9.1733,81.2834,13.0593,5.5014,0.1092,0.0468,0.0742,0.6456,97.6211,406.5895,0.3031,1.6591,792.5113,21.1095,23.3322,1.2605,2.7609,51.5265,484.0651,484.4563,4.844563,6.2080854,0.904736802
166,PU,Cherry Stone,92.445,7.555,64.3966,8.1236,23.3931,3.9152,0.1715,0.0768,1.1271,95.8198,304.1118,0.3372,2.9763,881.3176,17.7951,27.3073,2.2055,1.1988,51.4608,388.1767,368.711,3.68711,5.791761,0.651660911
167,PET,Cherry Stone,23.9121,76.0879,51.822,5.7613,41.9376,0.3345,0.1446,0.7735,5.8166,76.0868,244.6956,0.4299,17.3231,757.6693,5.8988,10.2401,15.6031,1.0293,67.1854,288.2456,223.9052,2.239052,2.2958124,0.576049062
168,PE,Nectarine Stone,5.3715,94.6285,50.5795,6.4875,42.2218,0.4844,0.2268,1.5608,7.9168,72.1384,206.8976,0.3692,18.384,728.1743,8.0254,11.3922,14.292,1.8482,64.3671,247.0879,197.8234,1.978234,2.963816,0.704464458
169,PET,Nectarine Stone,66.9698,33.0302,57.6778,4.9567,37.1039,0.1856,0.076,0.5448,2.904,86.7192,186.996,0.2893,9.832,953.1328,15.3442,31.3537,4.5678,0.3606,48.3514,262.0281,237.6604,2.376604,5.7368346,0.489390407
170,PU,Rice Straw,91.6321,8.3679,64.4397,8.0967,23.4414,3.8664,0.1558,0.4362,1.2614,96.0839,377.7839,0.4212,2.2185,857.7891,13.2198,22.8386,4.5345,0.9975,58.3822,452.0695,402.3572,4.023572,4.662507,0.578835831
171,PET,Cotton Stalk,49.3999,50.6001,54.1111,5.567,38.9716,0.6961,0.6542,9.3113,5.4325,76.1075,144.3312,0.2624,9.1487,896.4749,17.6239,31.0002,4.7778,0.9456,45.4511,210.6327,195.9475,1.959475,6.1479312,0.568509235
172,PU,DDGS,60.1877,39.8123,60.3485,7.8376,26.8805,4.5121,0.4213,4.903,3.7907,85.5066,276.4019,0.3588,5.7997,787.9098,14.2785,23.2333,4.7678,1.9727,55.6584,344.243,310.72,3.1072,5.1757004,0.614570466
173,PP,Nectarine Stone,90.2566,9.7434,81.9559,13.1066,4.8664,0.0487,0.0224,0.1607,0.8151,96.6801,364.1184,0.2698,2.3441,906.9757,25.8842,24.3503,0.4613,1.6868,47.6117,443.0847,469.448,4.69448,6.4675058,1.062993064
174,PP,Olive Pomace,74.8017,25.1983,78.1054,11.9253,9.8198,0.1238,0.0258,1.2366,1.8665,94.0964,382.6348,0.3139,2.8005,697.6033,15.9363,19.2304,3.5896,4.0515,57.1815,439.1557,410.8436,4.108436,5.5945878,0.828703511
175,PS,Rubber Wood,47.6444,52.3556,69.6541,7.4754,22.765,0.1054,0,2.6278,3.6527,85.9271,285.3401,0.3189,7.7924,878.0746,16.9244,28.4072,2.0944,1.2347,51.3378,362.3786,341.2793,3.412793,5.849165,0.595778535
176,PS,Açaí Seed,62.2111,37.7889,74.1202,7.707,17.8778,0.2951,0,5.4942,3.4955,87.7264,399.2608,0.4235,3.2839,662.7159,7.0484,17.7085,7.7797,3.3004,64.1588,460.9776,382.2627,3.822627,4.1740414,0.398023548
177,PS,Sorghum Stalk,72.433,27.567,77.9345,8.0441,13.1816,0.3586,0.4811,1.5414,2.7609,89.8062,383.7748,0.3615,5.8915,681.984,9.2944,19.4567,5.8463,3.3576,61.9559,443.7851,380.6086,3.806086,4.6573602,0.477696629
178,PP,DDGS,83.1097,16.8903,79.9378,12.7215,6.3635,0.8418,0.1353,2.0801,1.455,93.9693,447.1703,0.351,2.4956,776.5304,17.9557,23.1299,1.8347,2.6264,54.4321,525.9176,505.388,5.05388,5.7938342,0.776298211
179,PE,Cotton Stalk,16.5023,83.4977,52.8009,7.5021,37.4311,1.1584,1.1075,15.3651,8.7932,64.8991,186.2055,0.3451,10.9426,674.0843,10.7746,16.8661,10.0885,3.6332,58.3286,232.2828,197.1486,1.971486,4.589471,0.638831739
180,PP,Elephant Grass,43.4043,56.5957,60.8619,8.9545,29.0369,1.1467,0,0.3449,6.6327,83.5585,314.3403,0.3854,9.4639,705.5862,11.6279,17.4783,7.4629,2.9258,60.5006,369.1408,320.2846,3.202846,4.5055154,0.665276371
181,PU,Coffee Husk,64.0823,35.9177,57.3845,7.5371,32.278,2.6915,0.1089,0.8141,3.7385,89.836,214.8882,0.2906,5.6114,706.0307,15.1225,25.3129,5.0526,3.8387,50.6403,288.2884,264.4877,2.644877,6.19691,0.597422658
182,PS,Sorghum Bagasse,87.9648,12.0352,87.5679,8.5146,3.891,0.0096,0.0169,0.9067,1.0872,96.2963,559.5096,0.4477,1.7098,844.8627,10.8049,23.8595,3.0398,1.0888,61.2037,639.8315,561.0867,5.610867,4.5630166,0.452855257
183,PET,Spirulina Sp.,5.4286,94.5714,40.5037,6.0136,46.653,6.2907,0.5391,1.8719,5.4486,76.2693,183.0576,0.4217,16.4102,992.4768,5.85,8.7934,15.8939,0.0004,69.2551,218.9788,168.9725,1.689725,1.7399116,0.665271681
184,PET,Castor Seed Hull,43.8265,56.1735,52.0924,4.9832,42.7874,0.137,0,1.1302,1.9286,83.9039,196.1343,0.3476,13.0373,684.7433,7.3286,17.1093,14.4201,2.7283,58.4101,258.477,206.267,2.06267,3.923992,0.428340142
185,PS,Banana Stems,3.7659,96.2341,40.8906,5.5499,52.7711,0.7883,0,3.431,8.9062,76.3629,130.2912,0.3442,11.2999,813.0483,10.567,15.9828,16.705,0.9623,55.7815,179.1827,144.3501,1.443501,3.4995722,0.661148234
186,PS,Açaí Seed,68.4576,31.5424,76.7782,7.8376,15.1379,0.2463,0,4.6191,2.9177,89.7222,268.8341,0.2688,2.741,996.1909,21.0887,29.9054,0.2871,0.8291,47.8886,345.8858,344.9228,3.449228,6.3424778,0.705180335
187,PE,Pistachio Soft Shell,41.0381,58.9619,62.1299,7.8746,28.8136,1.1121,0.0698,11.5094,5.8667,73.7773,287.9049,0.4041,8.8466,849.5095,12.7829,20.5399,6.2458,0.9632,59.4531,340.5353,298.4568,2.984568,4.3134062,0.622344802
188,PP,Açaí Seed,59.7263,40.2737,70.2913,10.8522,18.5421,0.3145,0,5.7229,3.7253,86.7534,413.7981,0.4167,3.7984,672.6804,10.6123,17.491,6.2483,3.7029,61.9398,472.5477,410.3774,4.103774,4.6756326,0.606729175
189,PE,Rice Straw,5.7971,94.2029,52.7904,6.386,40.6004,0.2135,0.0099,4.9104,8.0118,77.4712,254.0418,0.4488,9.6066,744.6109,7.591,14.4739,12.6109,1.6644,63.6554,304.7174,245.1738,2.451738,3.2393946,0.524461272
190,PU,Cherry Stone,57.0163,42.9837,58.3312,7.3902,31.5205,2.5795,0.1786,0.437,3.5996,86.0166,281.2394,0.3739,9.9468,664.1432,9.2418,17.2879,9.2009,3.6005,60.6216,342.4567,287.9907,2.879907,4.4653688,0.534581991
191,PP,Coffee Husk,15.0301,84.9699,49.0282,7.3598,43.6119,0,0,1.9258,7.9347,79.0483,233.7019,0.4145,11.0912,799.3203,10.6558,14.8804,11.4732,1.1899,61.799,278.9166,232.0969,2.320969,3.451741,0.716096341
