# ID,Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,Outputs,,,,,,,,,,,,Other,
# ,Feedstock information,,,,Ultimate Analysis,,,,,Proximate Analysis,,,,Lignocellulosic Composition,,,Gasifier Conditions and Information,,,,,,,,,,,Gas Composition,,,,,,,,Yield and Process Efficiency,,,,Other information and notes,
,Type,Shape,Particle size [mm],LHV [MJ/kg wb],C [%daf],H [%daf],N [%daf],S [%daf],O [%daf],Ash [%db],Moisture [%wb],Volatile Matter [%db],Fixed carbon  [%db],Cellulose [%db],Hemicellulose [%db],Lignin [%db],Temperature [ï¿½C],Operation (Batch/Continuous),Operating Pressure [kPa],Residence time [min],Steam/Biomass [wt/wt],ER,Gasifying agent,Reactor Type,Bed material,Catalyst,Scale,N2 [vol.% db],H2 [vol.% db],CO [vol.% db],CO2 [vol.% db],CH4 [vol.% db],C2Hn [vol.% db],LHV [MJ/Nm3 db],Tar [g/Nm3 db],Gas yield [Nm3/kg wb],Char yield [g/kg wb],CGE [%] (wb),CCE [%] (wb),Reference,Notes
98,alfalfa,pellets,25x6,15.23,50.07,5.90,2.88,0.30,40.85,16.98,8.73,81.52,-,29.60,14.00,14.00,775.00,continuous,-,200.00,0.00,0.30,air,bubbling fluidised bed,silica sand,-,pilot-scale,52.72,13.45,9.46,20.42,2.78,1.17,4.21,-,1.66,-,42.14,60.34,"Sarker, Energy Conversion and Management, 2015, 91, 451-458",Structural composition taken as average; C2H6 treated as C2H4; Temperature taken as average
99,alfalfa,pellets,25x6,15.23,50.07,5.90,2.88,0.30,40.85,16.98,8.73,81.52,-,29.60,14.00,14.00,775.00,continuous,-,200.00,0.00,0.25,air,bubbling fluidised bed,silica sand,-,pilot-scale,54.14,13.50,8.42,20.04,2.70,1.20,4.25,1.09,1.35,261.92,34.76,47.13,"Sarker, Energy Conversion and Management, 2015, 91, 451-458",Structural composition taken as average; C2H6 treated as C2H4; Temperature taken as average
100,alfalfa,pellets,25x6,15.23,50.07,5.90,2.88,0.30,40.85,16.98,8.73,81.52,-,29.60,14.00,14.00,775.00,continuous,-,200.00,0.00,0.30,air,bubbling fluidised bed,silica sand,-,pilot-scale,54.47,12.73,9.15,19.91,2.65,1.09,4.19,-,1.38,-,34.85,48.59,"Sarker, Energy Conversion and Management, 2015, 91, 451-458",Structural composition taken as average; C2H6 treated as C2H4; Temperature taken as average
101,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,665.00,continuous,-,-,0.00,0.25,air,fluidised bed,alumina sand,-,127 kW,56.59,4.00,19.91,14.46,2.90,2.14,4.96,-,1.50,-,52.29,76.00,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
102,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,744.00,continuous,-,-,0.00,0.30,air,fluidised bed,alumina sand,-,127 kW,61.35,3.78,14.96,16.24,2.37,1.29,3.76,-,1.73,-,45.76,78.30,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
103,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,811.00,continuous,-,-,0.00,0.35,air,fluidised bed,alumina sand,-,127 kW,63.60,3.39,12.75,17.14,1.98,1.13,3.22,-,1.98,-,44.81,81.00,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
104,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,670.00,continuous,-,-,0.00,0.25,air,fluidised bed,alumina sand,-,127 kW,59.46,3.77,18.29,14.50,2.36,1.62,4.31,-,1.49,-,45.17,70.40,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
105,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,750.00,continuous,-,-,0.00,0.30,air,fluidised bed,alumina sand,-,127 kW,62.47,3.40,14.44,16.47,2.00,1.21,3.48,-,1.71,-,41.82,72.60,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
106,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,822.00,continuous,-,-,0.00,0.35,air,fluidised bed,alumina sand,-,127 kW,64.11,3.26,12.50,17.23,1.85,1.05,3.09,-,1.97,-,42.81,78.60,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
107,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,700.00,continuous,-,-,0.00,0.25,air,fluidised bed,alumina sand,-,127 kW,63.13,3.41,15.13,14.82,2.00,1.51,3.69,-,1.30,-,33.71,55.00,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
108,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,766.00,continuous,-,-,0.00,0.30,air,fluidised bed,alumina sand,-,127 kW,64.03,3.32,13.01,16.63,1.91,1.09,3.20,-,1.50,-,33.75,60.00,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
109,rice husk,"as received, uniform",3.15,14.22,47.01,6.78,0.48,0.04,45.71,20.00,9.08,66.40,13.60,-,-,-,828.00,continuous,-,-,0.00,0.35,air,fluidised bed,alumina sand,-,127 kW,64.22,3.25,12.29,17.42,1.84,0.98,3.03,-,1.70,-,36.23,67.00,"Mansaray, Biomass and Bioenergy 1999, 17, 315-332",Higher hydrocarbons treated as C2H4; Syngas LHV estimated from HHV; CGE calculated using equation
110,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,750.00,continuous,slightly above atmospheric,-,0.50,0.35,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,55.10,9.20,12.80,20.80,2.10,0.00,3.38,-,1.31,-,29.91,71.90,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
111,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,800.00,continuous,slightly above atmospheric,-,0.50,0.30,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,52.50,11.60,14.70,18.40,2.80,0.00,4.13,-,1.34,-,37.31,73.30,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
112,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,800.00,continuous,slightly above atmospheric,-,0.20,0.35,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,57.30,7.60,13.70,18.60,2.80,0.00,3.57,-,1.42,-,34.06,77.10,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
113,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,800.00,continuous,slightly above atmospheric,-,0.50,0.35,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,53.30,10.40,13.40,20.30,2.60,0.00,3.76,-,1.44,-,36.40,78.20,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
114,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,800.00,continuous,slightly above atmospheric,-,0.50,0.40,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,54.50,9.60,12.20,21.50,2.20,0.00,3.38,-,1.57,-,35.68,85.50,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
115,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,850.00,continuous,slightly above atmospheric,-,0.50,0.35,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,51.80,12.30,14.50,18.40,3.00,0.00,4.25,-,1.58,-,45.25,86.10,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
116,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,800.00,continuous,slightly above atmospheric,-,0.80,0.35,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,51.90,11.80,12.70,21.10,2.50,0.00,3.79,-,1.46,-,37.21,79.60,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
117,rice husk,as received,3.15,14.83,49.07,3.79,0.63,0.09,46.42,21.68,9.95,61.68,16.65,-,-,-,850.00,continuous,slightly above atmospheric,-,0.80,0.35,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,49.40,13.10,14.20,20.40,2.90,0.00,4.26,-,1.60,-,45.95,87.30,"Loha, J Renew and Sust Energy 2013, 5, 043111",Feedstock LHV estimated from HHV; Gas yield converted to wet basis; CGE calculated 
118,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,700.00,continuous,atmospheric,60.00,0.00,0.21,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,22.12,29.96,34.29,9.57,4.06,11.96,36.64,0.64,-,39.66,60.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
119,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,700.00,continuous,atmospheric,75.00,0.00,0.21,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,24.26,32.84,30.10,9.94,2.86,11.99,21.53,0.76,-,47.21,64.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
120,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,700.00,continuous,atmospheric,55.00,0.00,0.21,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,20.38,30.78,34.93,10.24,3.67,11.87,35.18,0.89,-,54.74,81.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
121,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,700.00,continuous,atmospheric,68.00,0.00,0.21,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,23.13,33.51,30.70,10.21,2.45,11.81,22.33,1.02,-,62.42,89.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
122,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,700.00,continuous,atmospheric,45.00,0.00,0.21,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,21.61,31.39,34.70,9.79,2.50,11.26,33.25,0.87,-,50.76,80.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
123,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,700.00,continuous,atmospheric,75.00,0.00,0.21,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,23.21,33.55,31.00,10.26,1.99,11.67,20.60,0.97,-,58.65,85.10,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
124,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,750.00,continuous,atmospheric,40.00,0.00,0.25,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,18.17,35.04,32.07,10.25,4.48,12.63,31.42,1.00,-,65.44,94.50,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
125,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,750.00,continuous,atmospheric,50.00,0.00,0.25,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,21.99,34.11,31.37,10.06,2.47,11.69,20.08,1.07,-,64.81,94.59,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
126,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,750.00,continuous,atmospheric,50.00,0.00,0.24,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,19.06,33.91,32.64,10.09,4.31,12.43,40.28,0.97,-,62.47,94.87,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
127,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,750.00,continuous,atmospheric,50.00,0.00,0.24,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,22.07,34.50,30.79,9.78,2.86,11.86,26.37,1.04,-,63.91,91.22,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
128,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,750.00,continuous,atmospheric,55.00,0.00,0.24,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,20.33,32.12,33.40,9.90,4.26,12.24,33.16,0.98,-,62.15,92.80,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
129,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,750.00,continuous,atmospheric,51.00,0.00,0.24,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,22.22,34.37,30.70,9.60,3.10,11.95,24.50,1.05,-,65.01,93.70,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
130,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,800.00,continuous,atmospheric,40.00,0.00,0.23,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,20.00,36.88,29.93,9.88,3.31,12.25,35.66,1.04,-,66.01,96.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
131,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,800.00,continuous,atmospheric,54.00,0.00,0.23,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,22.67,35.93,29.44,9.99,1.98,11.68,21.40,1.12,-,67.78,98.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
132,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,800.00,continuous,atmospheric,45.00,0.00,0.23,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,20.88,34.38,32.02,9.56,3.15,11.82,26.97,1.01,-,61.86,86.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
133,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,800.00,continuous,atmospheric,45.00,0.00,0.23,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,22.32,34.17,32.16,9.22,2.13,11.23,22.32,0.99,-,57.60,87.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
134,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,800.00,continuous,atmospheric,30.00,0.00,0.22,oxygen,fluidised bed,alumina,-,laboratory scale,0.00,20.00,36.88,29.93,9.88,3.31,12.25,33.76,1.01,-,64.11,91.00,"Baratieri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
135,birch wood,-,1.25,19.30,49.19,6.12,0.10,0.01,44.57,0.40,7.00,-,-,-,-,-,800.00,continuous,atmospheric,61.00,0.00,0.22,oxygen,fluidised bed,alumina,dolomite,laboratory scale,0.00,22.64,35.18,29.82,9.79,2.58,11.84,24.29,1.06,-,65.03,94.00,"Bariateri, Waste Biomass Valor 2010, 1, 283-291",No distinction made between different dolomite catalysts; higher hydrocarbons treated as C2H4; CGE calculated using equation
136,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,700.00,continuous,atmospheric,-,1.16,0.00,steam,fixed-bed,-,NiO/g-Al2O3,laboratory scale,0.00,34.01,11.34,38.25,10.30,6.10,12.42,94.09,0.88,175.00,53.89,65.60,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
137,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,750.00,continuous,atmospheric,-,1.16,0.00,steam,fixed-bed,-,NiO/g-Al2O3,laboratory scale,0.00,40.47,13.26,36.76,5.89,3.62,10.30,63.16,0.95,170.00,48.26,62.03,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
138,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,800.00,continuous,atmospheric,-,1.16,0.00,steam,fixed-bed,-,NiO/g-Al2O3,laboratory scale,0.00,46.54,14.65,32.61,2.87,3.33,9.88,31.25,1.28,155.00,62.33,75.16,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
139,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,850.00,continuous,atmospheric,-,1.16,0.00,steam,fixed-bed,-,NiO/g-Al2O3,laboratory scale,0.00,51.16,15.66,28.23,2.14,2.81,9.93,3.18,1.32,100.00,64.63,70.50,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
140,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,900.00,continuous,atmospheric,-,1.16,0.00,steam,fixed-bed,-,NiO/g-Al2O3,laboratory scale,0.00,54.22,22.72,20.61,1.33,1.12,9.86,0.00,1.75,90.00,85.05,84.87,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
141,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,900.00,continuous,atmospheric,-,0.25,0.00,steam,fixed-bed,-,NiO/g-Al2O4,laboratory scale,0.00,38.62,47.57,12.11,0.61,1.09,11.04,14.87,0.78,145.40,42.45,50.38,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
142,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,900.00,continuous,atmospheric,-,0.40,0.00,steam,fixed-bed,-,NiO/g-Al2O5,laboratory scale,0.00,40.92,42.33,13.28,2.44,1.03,11.25,6.70,0.91,131.10,50.45,54.68,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
143,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,900.00,continuous,atmospheric,-,0.73,0.00,steam,fixed-bed,-,NiO/g-Al2O6,laboratory scale,0.00,52.70,25.91,17.75,2.26,1.38,10.59,0.00,1.14,96.70,59.49,57.38,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
144,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,900.00,continuous,atmospheric,-,0.91,0.00,steam,fixed-bed,-,NiO/g-Al2O7,laboratory scale,0.00,53.94,23.57,20.80,1.34,0.35,9.48,0.00,1.31,96.20,61.23,62.86,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
145,municipal solid waste,particles,5,20.29,51.81,5.76,0.26,0.36,41.81,5.64,0.00,79.90,14.46,-,-,-,900.00,continuous,atmospheric,-,1.16,0.00,steam,fixed-bed,-,NiO/g-Al2O8,laboratory scale,0.00,54.22,22.72,20.61,1.33,1.12,9.86,0.00,1.75,94.50,85.05,84.87,"Luo, Energy 2012, 44, 391-395",LHV calculated from gas composition; higher hydrocarbons treated as C2H4; CGE calculated using equation; some of tar yields and char yields estimated from figure; steam/biomass ratio calcualted from steam/carbon ratio
146,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,700.00,continuous,atmospheric,-,1.23,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,32.84,29.85,18.91,15.42,2.99,13.15,1.85,1.03,-,67.76,75.20,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
147,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,750.00,continuous,atmospheric,-,1.23,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,46.53,23.76,19.31,7.43,2.97,10.85,0.78,1.31,-,71.10,75.80,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
148,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,800.00,continuous,atmospheric,-,1.23,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,57.00,15.00,21.50,4.50,2.00,9.76,0.22,1.66,-,81.05,78.50,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
149,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,850.00,continuous,atmospheric,-,1.23,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,58.13,16.26,21.67,2.46,1.48,9.34,0.18,1.85,-,86.44,80.86,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
150,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,800.00,continuous,atmospheric,-,0.73,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,48.02,22.28,15.35,11.39,2.97,12.11,8.02,1.26,-,76.33,71.00,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
151,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,800.00,continuous,atmospheric,-,1.23,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,55.72,17.41,20.90,4.98,1.00,10.09,0.23,1.62,-,81.77,76.79,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
152,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,800.00,continuous,atmospheric,-,2.08,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,53.23,16.92,23.88,3.98,1.99,9.38,0.85,1.50,-,70.39,75.73,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
153,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,800.00,continuous,atmospheric,-,2.77,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,52.74,15.92,24.88,5.47,1.00,9.73,1.78,1.43,-,69.60,71.78,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
154,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,800.00,continuous,atmospheric,-,3.08,0.00,steam,fixed-bed,-,NiO/MD,laboratory scale,0.00,51.74,14.93,26.37,4.98,1.99,9.40,2.86,1.38,-,64.89,71.16,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
155,municipal solid waste,particles,5,19.99,55.60,7.21,0.88,0.54,35.78,7.12,9.34,77.52,15.36,-,-,-,800.00,continuous,atmospheric,-,1.23,0.00,steam,fixed-bed,-,-,laboratory scale,0.00,31.50,22.00,23.50,13.50,9.50,11.60,38.67,0.78,-,45.26,55.70,"Wang, Int. J. Hydrog 2012, 37, 6503-6510",Syngas composition had to be read from graphs; LHV for some runs calculated from equation given in paper
