# ID,Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,Outputs,,,,,,,,,,,,Other,
# ,Feedstock information,,,,Ultimate Analysis,,,,,Proximate Analysis,,,,Lignocellulosic Composition,,,Gasifier Conditions and Information,,,,,,,,,,,Gas Composition,,,,,,,,Yield and Process Efficiency,,,,Other information and notes,
,Type,Shape,Particle size [mm],LHV [MJ/kg wb],C [%daf],H [%daf],N [%daf],S [%daf],O [%daf],Ash [%db],Moisture [%wb],Volatile Matter [%db],Fixed carbon  [%db],Cellulose [%db],Hemicellulose [%db],Lignin [%db],Temperature [ï¿½C],Operation (Batch/Continuous),Operating Pressure [kPa],Residence time [min],Steam/Biomass [wt/wt],ER,Gasifying agent,Reactor Type,Bed material,Catalyst,Scale,N2 [vol.% db],H2 [vol.% db],CO [vol.% db],CO2 [vol.% db],CH4 [vol.% db],C2Hn [vol.% db],LHV [MJ/Nm3 db],Tar [g/Nm3 db],Gas yield [Nm3/kg wb],Char yield [g/kg wb],CGE [%] (wb),CCE [%] (wb),Reference,Notes
23,sawdust,fibres,4,15.73,44.96,5.83,3.10,0.61,45.50,0.47,14.60,89.11,10.42,-,-,-,1050.00,continuous,atmospheric,-,0.00,0.25,air,air-blown fluidised bed,silica sand,-,pilot-scale,46.70,19.50,17.80,13.25,2.75,0.00,5.87,-,2.00,-,72.00,84.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
24,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,700.00,continuous,atmospheric,-,2.70,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,22.00,42.50,21.00,8.50,4.50,7.95,-,1.43,-,59.87,78.17,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
25,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,750.00,continuous,atmospheric,-,2.70,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,28.00,39.00,19.00,8.00,3.50,7.65,-,1.51,-,60.88,80.66,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
26,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,2.70,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.00,37.50,18.00,7.50,3.50,8.56,-,2.23,-,100.58,85.90,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
27,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,850.00,continuous,atmospheric,-,2.70,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,36.50,34.00,18.50,7.50,2.50,8.22,-,2.45,-,106.16,92.35,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
28,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,900.00,continuous,atmospheric,-,2.70,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,39.00,33.50,19.00,6.50,1.00,7.36,-,2.53,-,98.14,92.59,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
29,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.19,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.50,37.50,17.75,7.75,3.00,8.82,-,2.13,-,98.96,76.26,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
30,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.21,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.00,39.00,17.50,7.75,3.00,8.84,-,2.25,-,104.79,84.49,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
31,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.23,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.00,40.00,17.50,7.50,3.00,8.71,-,2.37,-,108.75,90.60,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
32,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.25,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.00,39.00,18.25,7.50,2.75,8.16,-,2.18,-,93.78,84.00,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
33,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.27,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.50,37.50,19.75,7.25,2.50,7.28,-,1.88,-,72.09,70.60,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
34,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,0.00,0.22,air,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,33.00,43.00,16.00,6.00,2.00,6.74,-,1.46,-,51.86,68.67,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
35,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.35,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,30.00,40.50,17.00,8.00,3.25,9.14,-,2.39,-,115.14,92.09,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
36,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,2.02,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,31.00,39.00,17.50,7.75,3.00,8.91,-,2.34,-,109.80,88.70,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
37,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,2.70,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.50,37.50,18.50,7.50,3.00,8.56,-,2.23,-,100.58,85.90,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
38,pine saw dust,dust,0.375,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,4.04,0.22,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.50,37.50,19.00,7.50,3.00,8.10,-,1.95,-,83.23,75.10,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
39,pine saw dust,dust,0.75,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.23,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.25,37.50,21.25,6.50,2.50,6.98,-,1.53,-,56.24,77.62,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
40,pine saw dust,dust,0.53,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.23,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.25,37.50,19.50,7.50,3.00,7.94,-,1.93,-,80.72,84.40,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
41,pine saw dust,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.23,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,32.25,40.00,17.00,7.50,3.00,8.71,-,2.37,-,108.75,90.60,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
42,pine saw dust,dust,0.25,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8.00,82.29,17.16,-,-,-,800.00,continuous,atmospheric,-,1.56,0.23,air + steam,fluidised bed,silica sand,-,small-scale (smaller than pilot),-,30.50,41.00,17.00,7.75,3.50,8.74,-,2.57,-,118.32,95.10,"Lv, Bioresource Technology 2004, 95, 95-101",LHV feedstock estimated from HHV; CGE estimated using equation (hence some values >100%); average particle size taken
43,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,750.00,continuous,-,80.00,0.00,0.20,air,bubbling fluidised bed,silica sand,-,laboratory scale,61.89,9.96,7.32,14.43,3.76,2.64,3.40,17.30,0.97,44.48,28.62,54.00,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
44,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,0.00,0.20,air,bubbling fluidised bed,silica sand,-,laboratory scale,52.94,14.20,10.85,13.79,4.97,3.25,4.80,14.10,1.02,35.56,42.53,67.30,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
45,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,850.00,continuous,-,80.00,0.00,0.20,air,bubbling fluidised bed,silica sand,-,laboratory scale,48.33,16.62,12.77,13.17,5.78,3.34,5.60,10.20,1.02,36.23,49.62,72.80,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
46,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,750.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,-,laboratory scale,66.09,7.72,7.01,14.31,2.74,2.13,2.80,11.80,1.27,44.99,31.01,66.20,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
47,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,-,laboratory scale,61.73,10.56,8.12,14.31,3.05,2.23,3.30,7.60,1.27,28.53,36.55,71.30,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
48,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,850.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,-,laboratory scale,58.46,12.26,10.23,13.27,3.34,2.43,3.90,4.30,1.32,19.06,44.92,77.90,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
49,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,750.00,continuous,-,80.00,0.00,0.40,air,bubbling fluidised bed,silica sand,-,laboratory scale,76.20,3.26,4.37,14.34,1.02,0.81,1.30,6.60,1.48,23.13,16.70,61.60,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
50,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,0.00,0.40,air,bubbling fluidised bed,silica sand,-,laboratory scale,66.36,8.64,7.01,14.02,2.44,1.52,2.70,4.80,1.58,19.67,37.08,79.50,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
