"Table S1. Literature-derived dataset: Biomass composition, gasification conditions and syngas outputs"																													
																													
Reference	Biomass residue	Gasification technology	Gasifying agent	T [°C]	O2 (wt/wt)	N2 (wt/wt)	H2Og (wt/wt)	MC (wt %ar)	VM (wt %ar)	Ash (wt %ar)	FC (wt %ar)	LHVb (MJ/kg)	C (wt %ar)	H (wt %ar)	O (wt %ar)	N (wt %ar)	S (wt %ar)	Cl (wt %ar)	F (wt %ar)	CO (mol%. db)	H2 (mol%. db)	CH4 (mol%. db)	CO2 (mol%. db)	N2 (mol%. db)	O2 (mol%. db)	CnHm (mol%. db)	HHVs (d.b.) (MJ/m3 )	H2/ CO ratio	
[34]	Palm empty fruit bunch (EFB)	Fixed bed	Steam	800	0	0	0.57	6.7	80.1	3.1	10.2	13.5	38.2	5.8	46.5	0.7	0.05	0	0	28	57.4	10.1	14.5	0	0	2.4	12.6	2	
[35]	Palm fibre	Fixed bed	Steam	800	0	0	0.57	6.8	76	5.3	12.4	18.3	47	5.3	38.4	0.6	0.06	0	0	12.7	40.6	4.8	26.6	0	0	2.2	11.3	9.2	
[36]	Palm empty fruit bunch (EFB)	Fluidized bed	Air	700	0.07	0.26	0	3.1	81.9	7.1	5.7	18.5	60.8	3.2	32.2	1.1	0	0	0	11	5.2	3	31.5	49.3	0	0	7.7	0.5	
[36]	Palm empty fruit bunch (EFB)	Fluidized bed	Steam	700	0	0	0	3.1	81.9	7.1	5.7	18.5	60.8	3.2	32.2	1.1	0	0	0	11	5.2	3	31.5	49.3	0	0	7.7	0.5	
[37]	Sawdust	Fixed bed	Steam	1000	0.07	0	0.26	8.3	83.9	7.1	5.7	18.5	60.8	5	68.3	2.2	1.1	0	0	18.4	19.3	7.5	55.5	0	0	11.9	18.1	0.6	
[37]	Sawdust	Fixed bed	Steam	702	0	0	0.15	8.5	75.2	1.2	15.1	14.8	40.7	5.9	44.1	0.7	0.1	0	0	18.4	29.1	12.9	33.6	0	0	8.9	15.6	1.4	
[37]	Sawdust	Fixed bed	Steam	846	0	0	0.15	8.5	75.2	1.2	15.1	14.8	40.7	5.9	44.1	0.7	0.1	0	0	26.3	35.1	8.4	22.6	0	0	7.3	15.3	1.3	
[38]	Corn straw	Fixed bed	Steam	846	0	0	0.15	8.5	78.2	1.2	15.1	14.3	40.7	5.9	44.1	0.7	0.1	0	0	32.4	47.2	6.6	5.9	0	0	1.5	12.1	1.7	
[39]	Palm empty fruit bunch (EFB)	Fluidized bed	Steam	700	0.11	0.41	0.67	7.8	79.3	4	8.6	10.8	36	3.6	46.6	1.6	0	0	0	8.1	16.1	7.5	2.2	54.3	0	0	55.5	9.3	
[40]	Palm empty fruit bunch (EFB)	Fluidized bed	Air	770	0.11	0.41	0	7.8	79.3	4	8.6	10.8	36	3.6	46.6	1.6	0	0	0	8.1	16.1	7.5	2.2	54.3	0	0	55.5	9.3	
[41]	Cotton kernels	Fixed bed	Air	750	0.14	0.16	0	16.3	85.8	1.9	10	16.5	45	5.1	34.2	0.9	0.2	0	0	36.7	14.3	2.4	18	39.4	0	0	1.8	7.3	1.7
[42]	Cotton stalk	Fixed bed	Oxygen	750	0.2	0	0	16.8	67.6	3.6	12	13.5	37.3	4.8	42.9	0.2	0	0	0	36.9	11.8	4	40.1	0	0	1.8	10.4	0.3	
[42]	Cotton stalk	Fixed bed	Oxygen	750	0.24	0	0	16.8	67.6	3.6	12	13.5	37.3	4.8	36.4	0.9	0.5	0	0	38.4	9.6	8.6	42.8	0	0	0.6	9.5	0.3	
[42]	Cotton stalk	Fixed bed	Oxygen	800	0.2	0	0	16.8	67.6	3.6	12	13.5	37.3	4.8	36.4	0.9	0.5	0	0	43.3	46.2	25	4.1	15.3	0	0.1	11.9	1.3	
[42]	Cotton stalk	Fixed bed	Oxygen	800	0.2	0	0	16.8	67.6	3.6	12	13.5	37.3	4.8	36.4	0.9	0.5	0	0	36.8	39.4	4.1	17.5	0	0.1	0.1	11.3	1.1	
[42]	Cotton stalk	Fixed bed	Oxygen	800	0.2	0	0	16.8	67.6	3.6	12	13.5	37.3	4.8	36.4	0.9	0.5	0	0	45	22.2	5.7	27	0	0.1	3.2	10.8	0.5	
[43]	Sawdust	Fixed bed	Steam	600	0	0	0.59	9.7	64.2	9.3	16.9	16.7	42.5	5.9	31.4	1.1	0.2	0	0	37	25.2	15.4	19.2	0	0	3.2	12.8	0.8	
[43]	Sawdust	Fixed bed	Steam	700	0	0	0.59	9.7	64.2	9.3	16.9	16.7	42.5	5.9	31.4	1.1	0.2	0	0	25	42.6	8.2	23.1	0	0	1.1	11.9	1.7	
[43]	Sawdust	Fixed bed	Steam	800	0	0	0.59	9.7	64.2	9.3	16.9	16.7	42.5	5.9	31.4	1.1	0.2	0	0	18.8	49.5	4.8	26.1	0	0	0.9	10.6	2.6	
[43]	Sawdust	Fixed bed	Steam	900	0	0	0.59	9.7	64.2	9.3	16.9	16.7	42.5	5.9	31.4	1.1	0.2	0	0	17.2	52.7	2.7	23.9	0	0	1.1	9.1	3.1	
[43]	Sawdust	Fixed bed	Steam	900	0	0	0.74	9.7	64.2	9.3	16.9	16.7	42.5	5.9	31.4	1.1	0.2	0	0	35.6	29.8	16	0	0	0	2.8	12.8	0.7	
[43]	White pine	Fluidized bed	Air-steam mixture	750	0.11	0.39	0.25	7.6	74.2	0.9	17.4	19.3	48.7	5.5	36.5	0.5	0.2	0	0	3.7	14.3	1.9	20	59.2	0	0	3	3.9	
